freq, min, min_avg, max, illegal
570, 0, 0.000000, 0, 0
571, 0, 0.000000, 0, 0
573, 0, 0.000000, 0, 0
575, 0, 0.000000, 0, 0
576, 0, 0.000000, 0, 0
577, 0, 0.000000, 0, 0
578, 0, 0.000000, 0, 0
580, 0, 0.000000, 0, 0
581, 0, 0.000000, 0, 0
582, 12, 12.000000, 12, 0
583, 12, 13.000000, 14, 0
584, 12, 12.000000, 12, 0
585, 12, 12.000000, 12, 0
587, 0, 0.000000, 0, 0
588, 12, 13.000000, 14, 0
589, 12, 12.250000, 14, 0
590, 12, 12.444444, 14, 0
592, 12, 12.500000, 16, 0
594, 12, 12.461538, 15, 0
595, 12, 12.523810, 16, 0
596, 12, 12.558824, 16, 0
598, 12, 12.666667, 15, 0
600, 11, 12.917949, 16, 0
