freq, avg, max, min
437, 0.000000, 0, 0
438, 0.000000, 0, 0
439, 0.000000, 0, 0
440, 0.000000, 0, 0
442, 0.000000, 0, 0
444, 0.000000, 0, 0
445, 0.000000, 0, 0
446, 0.000000, 0, 0
447, 0.000000, 0, 0
449, -2147483648.000000, 0, -2147483648
450, -2147483648.000000, 0, -2147483648
451, -1840700269.714286, 2147483648, -2147483648
452, -1130254551.578947, 2147483648, -2147483648
454, -884257972.705882, 2147483648, -2147483648
455, -149824440.558140, 2147483648, -2147483648
456, 113025455.157895, 2147483648, -2147483648
457, 489776972.350877, 2147483648, -2147483648
458, 487244189.042017, 2147483648, -2147483648
459, 487244189.042017, 2147483648, -2147483648
460, 447392426.666667, 2147483648, -2147483648
462, 419808833.443609, 2147483648, -2147483648
463, 279467050.082192, 2147483648, -2147483648
464, 290541905.317647, 2147483648, -2147483648
465, 246065834.666667, 2147483648, -2147483648
467, 264618838.142180, 2147483648, -2147483648
469, 350930254.673171, 2147483648, -2147483648
470, 252354069.235023, 2147483648, -2147483648
471, 314383867.387387, 2147483648, -2147483648
472, 263726062.035088, 2147483648, -2147483648
474, 198994623.752896, 2147483648, -2147483648
475, 241202873.507246, 1073741824, -2147483648
476, 282177885.488055, 2147483648, -2147483648
477, 291855999.140940, 1073741824, -2147483648
479, 376951916.936170, 1073741824, -2147483648
480, 357913941.333333, 1073741824, -2147483648
481, 381935011.221476, 1073741824, -2147483648
482, 389458898.874576, 1073741824, -2147483648
483, 400495342.713826, 1073741824, -2147483648
484, 354801651.385507, 1073741824, -2147483648
485, 339602144.148837, 1073741824, -2147483648
487, 257698412.521739, 1073743872, -2147483648
488, 144396646.115268, 1073743872, -2147483648
489, 124043053.314079, 1073743872, -2147483680
490, 115410872.968153, 1073743872, -2147483648
492, 107125796.553751, 1073743872, -2147483680
494, 101971896.969525, 1073743872, -2147483680
495, 94110529.302968, 1073743872, -2147483776
496, 99518188.465505, 1073743872, -2147483680
497, 95818204.076294, 1073744000, -2147483648
499, 91106009.923232, 1073744000, -2147483776
500, 80007294.467179, 1073744000, -2147483776
501, 76393101.714286, 1073744000, -2147483776
502, 79317457.993385, 1073744000, -2147483648
504, 75070971.966102, 1073744032, -2147483648
