freq, max, avg
438, 0.000000, 0.000000
439, 0.000000, 0.000000
440, 0.000000, 0.000000
442, 0.000000, 0.000000
444, 0.000000, 0.000000
445, 0.000000, 0.000000
446, 0.000000, 0.000000
447, 0.000000, 0.000000
449, 0.931273, 0.614823
450, 0.975209, 0.882878
451, 0.975209, 0.884745
452, 1.096702, 0.902036
454, 1.142060, 0.947433
455, 1.141646, 0.987643
456, 1.142060, 1.001052
457, 1.142060, 1.007903
458, 1.142060, 1.019300
459, 1.142060, 1.008253
460, 1.140931, 0.995936
462, 1.140844, 0.944767
463, 1.141646, 0.848721
464, 1.140931, 0.775011
465, 1.140017, 0.787459
467, 1.125446, 0.741207
469, 1.133096, 0.753808
470, 1.121637, 0.704873
471, 1.133096, 0.660748
472, 1.251734, 0.641052
474, 1.299505, 0.574968
475, 1.328494, 0.574088
476, 1.321031, 0.580346
477, 1.321031, 0.588950
479, 1.328494, 0.590410
480, 1.321031, 0.592185
481, 1.328494, 0.590950
482, 1.321031, 0.603486
483, 1.321031, 0.592591
484, 1.321031, 0.600374
485, 1.321031, 0.599720
487, 1.321031, 0.476243
488, 1.321031, 0.300923
489, 1.328496, 0.230104
490, 1.328496, 0.206308
492, 1.321031, 0.177575
494, 1.321031, 0.154328
495, 1.321031, 0.148514
496, 1.321031, 0.148195
497, 1.321031, 0.147565
499, 1.328496, 0.153644
500, 1.321031, 0.135371
501, 1.321031, 0.128278
502, 1.321031, 0.121020
504, 1.321031, 0.118494
505, 1.321031, 0.109306
506, 1.321031, 0.107297
507, 1.321031, 0.105242
508, 1.321031, 0.104912
509, 1.328497, 0.111016
510, 1.328497, 0.111019
512, 1.321031, 0.103661
513, 1.321031, 0.103217
514, 1.321031, 0.102056
515, 1.321031, 0.097367
517, 1.321031, 0.088773
519, 1.321526, 0.079625
520, 1.308466, 0.070900
521, 1.308466, 0.072024
522, 1.308466, 0.074926
524, 1.308466, 0.076542
525, 0.994544, 0.082248
526, 1.308466, 0.080085
527, 1.308466, 0.080348
529, 1.308466, 0.080119
530, 1.308466, 0.082026
531, 1.970800, 0.084853
532, 1.819968, 0.085877
533, 1.712728, 0.086981
534, 1.970800, 0.092616
535, 1.970800, 0.095413
537, 1.970800, 0.098378
538, 1.970800, 0.096304
539, 1.998245, 0.095534
540, 1.998245, 0.094725
542, 1.998245, 0.090782
544, 1.970800, 0.086663
545, 1.998245, 0.083802
546, 1.998245, 0.082906
548, 1.998245, 0.082598
550, 1.737977, 0.082108
551, 1.001624, 0.080924
552, 1.001624, 0.081642
553, 1.028612, 0.082060
555, 1.048534, 0.087545
556, 1.196751, 0.090481
557, 5.113316, 0.091473
558, 3.409674, 0.090986
559, 3.409674, 0.095192
560, 5.113316, 0.101554
562, 3.872679, 0.113785
563, 5.113316, 0.110591
564, 5.113316, 0.113715
565, 5.113316, 0.112584
567, 5.113316, 0.114729
569, 5.113316, 0.120309
570, 3.872679, 0.130526
571, 5.908625, 0.138951
573, 3.872679, 0.139171
575, 5.113316, 0.154010
576, 6.875506, 0.189188
577, 7.624353, 0.202094
578, 7.624353, 0.209146
580, 7.624353, 0.208930
581, 11.618109, 0.217777
582, 11.618109, 0.217477
583, 10.226633, 0.216415
584, 10.226633, 0.221661
585, 11.678620, 0.236120
587, 11.678620, 0.240206
588, 11.678620, 0.260420
589, 11.678620, 0.266782
590, 10.226597, 0.267516
592, 11.678620, 0.273304
594, 12.783245, 0.277317
595, 11.678620, 0.279924
596, 13.102827, 0.283187
598, 12.783245, 0.290631
600, 15.371501, 0.314019
