seed, avg, max, min
1,375981357.299996,379296875.000000,373433685.000055
2,327341507.500008,328910096.499991,325582122.000023
3,401969036.200021,404932117.999997,398828124.499996
4,369079974.350017,370036727.000011,367574310.000055
5,402636931.199992,404268271.999899,400777435.000055
6,373499529.300010,374789578.499986,371877281.499993
7,408119048.399994,408728235.499951,406640624.499996
8,359371671.299999,360730072.000006,358785232.000001
9,324420026.249992,326075657.500041,322652434.500023
10,366783623.600004,367571535.999984,365624996.499973
