freq, min_avg, max, min, illegal, max_avg
315, 0.000000E+00, 0, 0, 0, 0.000000E+00
316, 0.000000E+00, 0, 0, 0, 0.000000E+00
317, 0.000000E+00, 0, 0, 0, 0.000000E+00
318, 0.000000E+00, 0, 0, 0, 0.000000E+00
319, 0.000000E+00, 0, 0, 0, 0.000000E+00
320, 0.000000E+00, 0, 0, 0, 0.000000E+00
322, 0.000000E+00, 0, 0, 0, 0.000000E+00
323, 0.000000E+00, 0, 0, 0, 0.000000E+00
325, 0.000000E+00, 0, 0, 0, 0.000000E+00
326, 0.000000E+00, 0, 0, 0, 0.000000E+00
328, 0.000000E+00, 0, 0, 0, 0.000000E+00
329, 0.000000E+00, 0, 0, 0, 0.000000E+00
330, 5.949119E-01, 42, 38, 0, 6.066536E-01
331, 3.160470E+00, 52, 38, 0, 3.245597E+00
332, 5.019569E+00, 46, 38, 0, 5.148728E+00
334, 5.465753E+00, 46, 38, 0, 5.610568E+00
335, 5.279843E+00, 52, 38, 0, 5.427593E+00
337, 5.279843E+00, 52, 38, 0, 5.427593E+00
338, 5.279843E+00, 52, 38, 0, 5.427593E+00
339, 5.465753E+00, 46, 38, 0, 5.610568E+00
340, 5.465753E+00, 46, 38, 0, 5.610568E+00
341, 5.279843E+00, 52, 38, 0, 5.427593E+00
342, 5.279843E+00, 52, 38, 0, 5.427593E+00
344, 5.465753E+00, 46, 38, 0, 5.610568E+00
345, 5.465753E+00, 46, 38, 0, 5.610568E+00
347, 5.279843E+00, 52, 38, 0, 5.427593E+00
348, 6.618395E+00, 52, 38, 0, 6.820939E+00
350, 8.849315E+00, 51, 38, 0, 9.091977E+00
351, 1.018787E+01, 51, 38, 0, 1.046967E+01
353, 9.816047E+00, 52, 38, 0, 1.009687E+01
354, 1.018787E+01, 51, 38, 0, 1.046967E+01
355, 1.018787E+01, 51, 38, 0, 1.046967E+01
356, 1.018787E+01, 51, 38, 0, 1.046967E+01
357, 9.816047E+00, 52, 38, 0, 1.009687E+01
359, 9.816047E+00, 52, 38, 0, 1.009687E+01
360, 1.018787E+01, 51, 38, 0, 1.046967E+01
362, 9.816047E+00, 52, 38, 0, 1.009687E+01
363, 1.018787E+01, 51, 38, 0, 1.046967E+01
364, 1.018787E+01, 51, 38, 0, 1.046967E+01
365, 9.816047E+00, 52, 38, 0, 1.009687E+01
366, 1.018787E+01, 51, 38, 0, 1.046967E+01
367, 1.018787E+01, 51, 38, 0, 1.046967E+01
369, 9.816047E+00, 52, 38, 0, 1.009687E+01
370, 1.009002E+01, 58, 38, 0, 1.039237E+01
372, 1.024266E+01, 60, 38, 0, 1.054501E+01
373, 1.040705E+01, 60, 38, 0, 1.072603E+01
375, 1.025440E+01, 58, 38, 0, 1.063112E+01
376, 1.063796E+01, 59, 38, 0, 1.104892E+01
378, 1.063796E+01, 58, 38, 0, 1.104697E+01
379, 1.275049E+01, 59, 38, 0, 1.329354E+01
380, 1.431213E+01, 61, 38, 0, 1.500783E+01
381, 1.617906E+01, 60, 38, 0, 1.723581E+01
382, 1.812524E+01, 61, 38, 0, 1.943346E+01
384, 1.836204E+01, 60, 38, 0, 2.013209E+01
385, 1.844521E+01, 60, 24, 0, 2.046967E+01
387, 1.848532E+01, 61, 24, 0, 2.043542E+01
388, 1.882779E+01, 61, 24, 0, 2.172211E+01
389, 1.970646E+01, 61, 24, 0, 2.354012E+01
390, 1.994227E+01, 62, 24, 0, 2.401957E+01
391, 2.092172E+01, 62, 24, 0, 2.562427E+01
392, 2.025832E+01, 62, 24, 0, 2.456849E+01
394, 2.025832E+01, 62, 24, 0, 2.456849E+01
395, 2.108121E+01, 64, 24, 0, 2.581996E+01
397, 2.053033E+01, 64, 24, 0, 2.494325E+01
398, 2.124266E+01, 64, 24, 0, 2.609589E+01
400, 2.135812E+01, 64, 24, 0, 2.622798E+01
401, 2.182681E+01, 64, 24, 0, 2.637867E+01
402, 2.251957E+01, 64, 24, 0, 2.709002E+01
404, 2.352055E+01, 64, 24, 0, 2.818102E+01
405, 2.639628E+01, 64, 24, 0, 3.161937E+01
406, 2.641781E+01, 64, 24, 0, 3.161546E+01
407, 2.639335E+01, 64, 24, 0, 3.164971E+01
408, 2.612720E+01, 64, 24, 0, 3.102935E+01
409, 2.643836E+01, 64, 24, 0, 3.185714E+01
410, 2.689139E+01, 64, 24, 0, 3.263503E+01
412, 2.695695E+01, 64, 24, 0, 3.258219E+01
413, 2.788454E+01, 64, 24, 0, 3.425342E+01
414, 2.805969E+01, 64, 24, 0, 3.476125E+01
415, 2.716145E+01, 64, 24, 0, 3.508121E+01
417, 2.741585E+01, 64, 24, 0, 3.578865E+01
