freq, avg, max
315, 0.000000E+00, 0.000000E+00
316, 0.000000E+00, 0.000000E+00
317, 0.000000E+00, 0.000000E+00
318, 0.000000E+00, 0.000000E+00
319, 0.000000E+00, 0.000000E+00
320, 0.000000E+00, 0.000000E+00
322, 0.000000E+00, 0.000000E+00
323, 0.000000E+00, 0.000000E+00
325, 0.000000E+00, 0.000000E+00
326, 0.000000E+00, 0.000000E+00
328, 0.000000E+00, 0.000000E+00
329, 0.000000E+00, 0.000000E+00
330, 1.582233E-10, 4.855563E-08
331, 4.234411E-09, 6.833374E-07
332, 8.207872E-09, 1.368524E-06
334, 1.016594E-08, 1.404972E-06
335, 1.335377E-08, 1.985646E-06
337, 1.335377E-08, 1.985646E-06
338, 1.335377E-08, 1.985646E-06
339, 1.335377E-08, 1.985646E-06
340, 1.335377E-08, 1.985646E-06
341, 1.016594E-08, 1.404972E-06
342, 1.016594E-08, 1.404972E-06
344, 1.016594E-08, 1.404972E-06
345, 1.016594E-08, 1.404972E-06
347, 1.335377E-08, 1.985646E-06
348, 1.622998E-08, 1.985646E-06
350, 1.819382E-08, 1.985646E-06
351, 4.890161E-04, 4.997549E-01
353, 4.890161E-04, 4.997549E-01
354, 4.890161E-04, 4.997549E-01
355, 4.890164E-04, 4.997549E-01
356, 4.890161E-04, 4.997549E-01
357, 4.890161E-04, 4.997549E-01
359, 4.890164E-04, 4.997549E-01
360, 2.445176E-04, 2.498775E-01
362, 1.222684E-04, 1.249387E-01
363, 1.222686E-04, 1.249387E-01
364, 1.222686E-04, 1.249387E-01
365, 1.222686E-04, 1.249387E-01
366, 1.222686E-04, 1.249387E-01
367, 1.969778E-04, 1.249387E-01
369, 7.108013E-04, 5.181867E-01
370, 6.459826E-04, 5.181867E-01
372, 6.938529E-04, 5.181867E-01
373, 1.166725E-03, 5.181867E-01
375, 7.977369E-04, 5.181867E-01
376, 1.478334E-03, 5.181867E-01
378, 6.745540E-04, 2.590934E-01
379, 6.837761E-04, 2.590934E-01
380, 1.017536E-03, 4.814181E-01
381, 7.716924E-04, 2.590934E-01
382, 9.907409E-04, 2.590934E-01
384, 1.229116E-03, 2.590934E-01
385, 1.343678E-03, 2.590934E-01
387, 1.167071E-03, 2.590934E-01
