freq, avg, max
395, 0.000000E+00, 0.000000E+00
397, 0.000000E+00, 0.000000E+00
398, 0.000000E+00, 0.000000E+00
400, 0.000000E+00, 0.000000E+00
401, 0.000000E+00, 0.000000E+00
402, 0.000000E+00, 0.000000E+00
404, 0.000000E+00, 0.000000E+00
405, 2.256026E-21, 2.305658E-18
406, 0.000000E+00, 0.000000E+00
407, 4.608533E-21, 2.404262E-18
408, 1.551617E-20, 1.355186E-17
409, 7.385643E-21, 4.153056E-18
410, 1.786867E-20, 1.355186E-17
412, 2.961595E-20, 1.355186E-17
413, 6.905316E-14, 3.932577E-11
414, 4.447301E-14, 4.624634E-12
415, 2.077691E-13, 3.932577E-11
417, 2.273245E-13, 3.932577E-11
419, 2.779985E-13, 6.566751E-11
420, 2.410477E-13, 3.932577E-11
421, 4.871053E-04, 4.978216E-01
422, 6.974042E-05, 7.127471E-02
424, 4.871610E-04, 4.978216E-01
425, 4.872092E-04, 4.978216E-01
426, 4.874031E-04, 4.978216E-01
427, 1.369927E-03, 9.954954E-01
429, 1.369964E-03, 9.954954E-01
430, 1.370192E-03, 9.954954E-01
431, 1.153700E-03, 4.990987E-01
432, 6.357446E-04, 3.733662E-01
433, 1.619117E-03, 4.990987E-01
434, 1.580979E-03, 4.990987E-01
435, 6.169259E-04, 3.733662E-01
437, 1.738388E-03, 9.865892E-01
438, 2.997940E-03, 9.865892E-01
439, 1.471254E-03, 9.865892E-01
440, 3.255667E-03, 9.865892E-01
442, 1.759248E-03, 9.865892E-01
444, 1.230558E-03, 4.932946E-01
445, 2.332776E-03, 4.932946E-01
446, 2.338274E-03, 1.033601E+00
447, 2.526068E-03, 4.932946E-01
449, 2.640231E-03, 4.932946E-01
450, 2.473636E-03, 1.033601E+00
451, 2.505434E-03, 1.033601E+00
452, 2.183517E-03, 1.033601E+00
454, 2.277470E-03, 1.033601E+00
455, 2.479855E-03, 1.033601E+00
456, 2.586405E-03, 1.033601E+00
457, 2.311647E-03, 3.455053E-01
458, 2.665407E-03, 1.033601E+00
459, 2.715408E-03, 1.033601E+00
460, 2.376566E-03, 3.458428E-01
462, 2.389049E-03, 5.167534E-01
463, 2.228178E-03, 3.471925E-01
464, 2.354882E-03, 5.167534E-01
465, 2.311718E-03, 5.167534E-01
467, 2.317050E-03, 5.167534E-01
469, 1.146922E+01, 1.171918E+04
470, 2.971006E-03, 7.265032E-01
471, 2.011044E-03, 1.744293E-01
472, 2.982536E-03, 7.265032E-01
474, 3.006381E-03, 7.488571E-01
475, 1.146917E+01, 1.171916E+04
476, 2.020071E-03, 1.744293E-01
477, 2.022571E-03, 1.744293E-01
479, 2.025200E-03, 1.744293E-01
480, 2.024571E-03, 1.744293E-01
481, 2.039230E-03, 1.744293E-01
482, 4.630602E-02, 4.503202E+01
483, 2.024562E-03, 1.744293E-01
484, 4.648995E-02, 4.503202E+01
485, 3.162829E-03, 9.984453E-01
487, 5.926627E-02, 5.647724E+01
488, 3.476907E-02, 6.016283E+00
489, 3.961632E-02, 6.016283E+00
490, 1.255675E-01, 5.647724E+01
492, 1.314310E-01, 5.647724E+01
494, 2.282124E-01, 1.509003E+02
495, 2.272588E-01, 1.480390E+02
496, 3.071995E-01, 1.737907E+02
501, 3.502166E-01, 1.795133E+02
506, 1.848921E+00, 1.459947E+03
512, 1.139307E+00, 7.274532E+02
518, 1.234105E+00, 7.274532E+02
524, 3.497718E+00, 2.925656E+03
530, 3.472685E+00, 2.925667E+03
535, 2.078477E+01, 2.051414E+04
540, 2.108717E+01, 2.051414E+04
545, 2.124661E+01, 2.051412E+04
550, 2.095981E+01, 2.014787E+04
555, 2.099202E+01, 2.014787E+04
560, 2.096370E+01, 2.014787E+04
565, 2.394516E+01, 2.321738E+04
570, 2.399487E+01, 2.321738E+04
575, 9.670820E+00, 8.427968E+03
580, 9.651657E+00, 8.428867E+03
585, 1.653478E+01, 1.498797E+04
590, 2.059363E+01, 1.891353E+04
595, 2.097693E+01, 1.891353E+04
600, 0.000000E+00, 0.000000E+00
395, 0.000000E+00, 0.000000E+00
397, 0.000000E+00, 0.000000E+00
398, 0.000000E+00, 0.000000E+00
400, 0.000000E+00, 0.000000E+00
401, 0.000000E+00, 0.000000E+00
402, 0.000000E+00, 0.000000E+00
404, 0.000000E+00, 0.000000E+00
405, 7.634644E-22, 7.802606E-19
406, 0.000000E+00, 0.000000E+00
407, 0.000000E+00, 0.000000E+00
408, 0.000000E+00, 0.000000E+00
409, 6.164432E-21, 4.013714E-18
410, 9.238950E-21, 4.013714E-18
412, 3.801815E-21, 1.722549E-18
413, 3.246052E-14, 6.151873E-12
414, 6.223120E-14, 6.151873E-12
415, 4.360845E-13, 2.129245E-10
417, 3.937456E-13, 2.129245E-10
419, 3.265791E-04, 3.337639E-01
420, 3.267204E-04, 3.339082E-01
421, 1.300082E-03, 9.947756E-01
422, 3.265815E-04, 3.337639E-01
424, 3.267236E-04, 3.339082E-01
425, 1.300130E-03, 9.947756E-01
426, 1.403429E-03, 1.000563E+00
427, 1.501469E-03, 1.000563E+00
429, 1.501526E-03, 1.000563E+00
430, 1.330166E-03, 9.947756E-01
431, 1.476849E-03, 7.504221E-01
432, 1.355584E-03, 7.504221E-01
433, 1.944976E-03, 1.019898E+00
434, 1.936838E-03, 1.019898E+00
435, 2.197662E-03, 1.019898E+00
437, 2.001874E-03, 1.019898E+00
438, 2.244054E-03, 1.019898E+00
439, 2.536123E-03, 1.019898E+00
440, 2.149097E-03, 1.019898E+00
442, 3.321979E-03, 1.019898E+00
444, 3.192906E-03, 1.019898E+00
445, 3.058836E-03, 1.019898E+00
446, 3.086932E-03, 7.711379E-01
447, 3.230612E-03, 1.019898E+00
449, 3.390471E-03, 1.019898E+00
450, 3.941395E-03, 1.019898E+00
451, 3.758385E-03, 1.019898E+00
452, 2.917845E-03, 7.711379E-01
454, 3.428920E-03, 7.711536E-01
455, 3.222747E-03, 7.711379E-01
456, 3.031267E-03, 7.711379E-01
457, 3.197411E-03, 7.711379E-01
458, 3.731514E-03, 7.711536E-01
459, 3.496607E-03, 9.919183E-01
460, 4.490610E-03, 9.919183E-01
462, 4.022612E-03, 9.919183E-01
463, 3.862951E-03, 9.919183E-01
464, 3.184806E-03, 9.919183E-01
465, 3.842406E-03, 9.919183E-01
467, 3.855885E-03, 9.919183E-01
469, 3.860539E-03, 9.919183E-01
470, 3.886477E-03, 9.919183E-01
471, 3.885039E-03, 9.919183E-01
472, 3.877329E-03, 9.919183E-01
474, 3.885518E-03, 9.919183E-01
475, 3.216434E-03, 9.919183E-01
476, 3.879726E-03, 9.919183E-01
477, 3.872238E-03, 9.919183E-01
479, 3.155017E-03, 9.919183E-01
480, 3.698932E-03, 9.919183E-01
481, 3.868816E-03, 9.919183E-01
482, 3.092374E-03, 9.919183E-01
483, 3.808904E-03, 9.919183E-01
484, 3.739554E-03, 9.919183E-01
485, 3.808262E-03, 9.919183E-01
487, 5.406856E-03, 2.243726E+00
488, 3.682002E-02, 5.695117E+00
489, 1.283143E-01, 2.159072E+01
490, 1.486711E-01, 2.159072E+01
492, 1.650955E-01, 2.159072E+01
494, 1.921970E-01, 4.830514E+01
495, 2.005919E-01, 3.433420E+01
500, 2.838795E-01, 4.830514E+01
505, 4.452321E-01, 1.170703E+02
510, 5.363038E-01, 1.170703E+02
515, 6.066961E-01, 1.170703E+02
520, 1.242501E+00, 4.593300E+02
525, 5.955827E-01, 1.170703E+02
530, 5.897220E-01, 1.170703E+02
535, 1.998120E+00, 5.103799E+02
540, 1.994292E+00, 5.103799E+02
545, 2.517268E+00, 5.835389E+02
550, 1.974028E+00, 5.103799E+02
555, 1.948634E+00, 5.103799E+02
560, 1.813796E+00, 3.827856E+02
565, 1.424495E+00, 1.673395E+02
570, 1.470653E+00, 2.224376E+02
575, 1.485666E+00, 1.510137E+02
580, 1.916999E+00, 3.046847E+02
585, 2.405271E+00, 4.540549E+02
590, 2.773423E+00, 4.540549E+02
595, 3.190230E+00, 4.540187E+02
397, 0.000000E+00, 0.000000E+00
398, 0.000000E+00, 0.000000E+00
400, 0.000000E+00, 0.000000E+00
401, 0.000000E+00, 0.000000E+00
402, 0.000000E+00, 0.000000E+00
404, 0.000000E+00, 0.000000E+00
405, 9.804923E-22, 1.002063E-18
406, 0.000000E+00, 0.000000E+00
407, 2.449725E-04, 2.503619E-01
408, 2.449725E-04, 2.503619E-01
409, 0.000000E+00, 0.000000E+00
410, 5.239892E+00, 5.355170E+03
412, 1.461359E-13, 1.375278E-10
413, 5.240137E+00, 5.355170E+03
414, 6.549865E+00, 6.693962E+03
415, 5.240300E+00, 5.355170E+03
417, 6.550029E+00, 6.693962E+03
419, 1.310381E+00, 1.338792E+03
420, 1.310381E+00, 1.338792E+03
421, 1.311196E+00, 1.338792E+03
422, 1.310545E+00, 1.338792E+03
424, 1.311517E+00, 1.338792E+03
425, 1.311333E+00, 1.338792E+03
426, 1.311302E+00, 1.338792E+03
427, 3.291799E-01, 3.346981E+02
429, 3.290984E-01, 3.346981E+02
430, 6.565510E-01, 6.693962E+02
431, 1.311493E+00, 1.338795E+03
432, 6.565212E-01, 6.693988E+02
433, 3.293303E-01, 3.346981E+02
434, 3.293064E-01, 3.346981E+02
435, 3.292552E-01, 3.347007E+02
437, 3.293417E-01, 3.346981E+02
438, 3.303041E-01, 3.347007E+02
439, 3.311311E-01, 3.346981E+02
440, 3.310907E-01, 3.346981E+02
442, 2.499295E-01, 2.510236E+02
444, 2.490909E-01, 2.510261E+02
445, 2.501258E-01, 2.510261E+02
446, 4.422204E-02, 4.183727E+01
447, 4.441023E-02, 4.183727E+01
449, 4.420434E-02, 4.183727E+01
450, 4.641868E-02, 4.183982E+01
451, 4.582607E-02, 4.183982E+01
452, 4.543193E-02, 4.183727E+01
454, 4.646981E-02, 4.183982E+01
455, 4.638706E-02, 4.183982E+01
456, 4.689412E-02, 4.183982E+01
457, 4.743421E-02, 4.183982E+01
458, 4.753790E-02, 4.183982E+01
