freq, min, max, avg
270, 0, 0, 0.000000
271, 0, 0, 0.000000
272, 0, 0, 0.000000
273, 0, 0, 0.000000
274, 0, 0, 0.000000
275, 0, 0, 0.000000
276, 0, 0, 0.000000
277, 0, 0, 0.000000
278, 0, 0, 0.000000
279, 0, 0, 0.000000
280, -32768, 0, -32768.000000
281, -16384, 0, -16384.000000
282, -32768, 0, -24576.000000
283, -32768, 0, -21845.333333
284, -16384, 0, -16384.000000
285, -16384, 0, -16384.000000
286, -32768, 0, -21845.333333
287, -32768, 0, -21845.333333
288, -16384, 0, -16384.000000
289, -16384, 0, -16384.000000
290, -32768, 0, -19114.666667
291, -32768, 0, -21845.333333
292, -32768, 0, -19114.666667
293, -16384, 2048, -9362.285714
294, -32768, 2048, -12288.000000
295, -16384, 0, -10624.000000
296, -16384, 0, -14336.000000
297, -16384, 65536, -2048.000000
298, -16384, 0, -12672.000000
299, -16384, 0, -12544.000000
300, -16384, 65536, -2048.000000
301, -16384, 65536, -1954.909091
302, -16384, 65536, 3669.333333
303, -16384, 65536, 3544.615385
304, -16384, 65536, 9792.000000
305, -32768, 65536, 3934.315789
306, -65536, 81920, 11085.913043
307, -65536, 81920, 3537.454545
308, -65536, 81920, 6348.800000
309, -65536, 81920, 3584.000000
310, -65536, 81920, 12747.034483
311, -65536, 81920, -1750.709677
312, -81920, 81920, -4266.666667
313, -65536, 81920, 13249.939394
314, -65536, 81920, -563.200000
315, -65536, 81920, 9192.727273
316, -86016, 81920, 5141.787234
317, -86016, 81920, 6066.716981
318, -86016, 81920, 16821.333333
319, -86016, 81920, 16925.090909
320, -86016, 81920, 18877.842697
322, -86016, 81920, 21219.764706
323, -86016, 81920, 13859.343284
325, -86016, 81920, 20722.105263
326, -98304, 82944, 19902.798122
328, -98304, 82944, 19322.344186
329, -98304, 98304, 14479.941392
330, -98304, 82944, 21087.197133
331, -98304, 98304, 13273.483283
332, -98304, 98304, 12640.091691
334, -98304, 98304, 11476.493438
335, -98304, 98304, 10096.572792
337, -98304, 98304, 8888.069565
338, -102400, 94208, 8904.840467
339, -102400, 94208, 8016.086176
340, -102400, 94208, 6504.707106
341, -98304, 81920, 8655.140940
342, -102400, 81920, 8255.481361
344, -102400, 94208, 4451.628866
345, -102400, 94208, 2606.447607
347, -102400, 110592, 4109.486590
348, -102400, 110592, 855.637631
350, -102400, 110592, -796.039430
351, -102400, 114688, -2105.240310
353, -102400, 110592, -3101.811460
354, -102400, 114688, -4898.753247
355, -102400, 110592, -5128.091954
356, -102400, 110592, -5167.377843
357, -102400, 110592, -5054.554415
359, -102400, 114688, -3099.854251
360, -102400, 114688, -2320.409257
362, -102400, 114688, -2724.376554
363, -103424, 110592, -5200.669929
364, -102720, 114688, -3882.483351
365, -102720, 114688, -4262.776668
366, -102720, 114688, -5173.753453
367, -102720, 114688, -5295.467205
369, -103424, 114688, -6355.705263
370, -103424, 114688, -7778.343620
372, -118784, 114688, -7853.372289
373, -114688, 114688, -9247.715670
375, -118784, 114688, -7606.466390
376, -118784, 114688, -7575.762500
378, -118784, 114688, -7365.073021
379, -118784, 114688, -6621.211278
380, -118784, 114688, -6228.618117
381, -118784, 114688, -5859.695470
382, -108544, 114688, -6951.517779
384, -118784, 114688, -5222.419028
385, -118784, 114688, -5298.741077
387, -108544, 114688, -6411.926536
388, -118784, 118784, -4580.412422
389, -118784, 118784, -4271.745644
390, -108800, 114688, -5717.220601
391, -118784, 118784, -4182.188948
392, -108800, 115712, -5572.061934
394, -118784, 118784, -4517.719309
395, -114688, 115712, -6203.962404
397, -118784, 112384, -4303.618829
398, -114688, 115712, -6242.443636
400, -114944, 114688, -4183.527313
401, -114944, 114688, -4203.447441
402, -114944, 115712, -4211.831476
404, -114944, 114816, -4004.953413
405, -118784, 114816, -4187.672659
406, -116736, 122880, -5410.934886
407, -116736, 122880, -5365.577167
408, -118784, 118784, -3587.645033
409, -118784, 124800, -5115.202086
410, -124672, 118784, -3398.914721
412, -116736, 124800, -4740.244219
413, -118784, 115712, -3216.290985
414, -118784, 118800, -2896.804746
415, -125248, 115712, -2926.406998
417, -125248, 118800, -2741.112936
419, -125248, 118800, -2611.060621
420, -125248, 118784, -2081.030165
421, -125248, 122880, -2063.983797
422, -125248, 118656, -2054.740666
424, -125248, 118912, -2270.480605
425, -125248, 118912, -2054.168384
426, -118832, 123024, -2941.994485
427, -120880, 123024, -3144.774323
429, -125248, 123008, -2045.492000
430, -120880, 120512, -2945.937220
431, -125248, 123984, -1983.896620
432, -125248, 123984, -2266.282306
433, -120624, 118720, -2867.118846
434, -125248, 123984, -1950.041140
435, -125248, 132608, -1579.175860
