freq, avg, max
273, 0.000000E+00, 0.000000E+00
274, 0.000000E+00, 0.000000E+00
275, 0.000000E+00, 0.000000E+00
276, 0.000000E+00, 0.000000E+00
277, 0.000000E+00, 0.000000E+00
278, 0.000000E+00, 0.000000E+00
279, 0.000000E+00, 0.000000E+00
280, 0.000000E+00, 0.000000E+00
281, 0.000000E+00, 0.000000E+00
282, 8.140425E-05, 3.331876E-01
283, 0.000000E+00, 0.000000E+00
284, 2.444464E-04, 1.000519E+00
285, 4.887063E-04, 1.000519E+00
286, 2.851485E-04, 1.000519E+00
287, 2.851485E-04, 1.000519E+00
288, 3.258506E-04, 1.000519E+00
289, 5.701396E-04, 1.000519E+00
290, 3.255078E-04, 5.002595E-01
291, 3.257864E-04, 5.002595E-01
292, 4.069357E-04, 5.002595E-01
293, 3.255078E-04, 5.002595E-01
294, 3.884398E-04, 5.002595E-01
295, 2.479767E-04, 5.002595E-01
296, 3.884398E-04, 5.002595E-01
297, 3.884398E-04, 5.002595E-01
298, 3.935297E-04, 5.002595E-01
299, 3.534822E-04, 5.002595E-01
300, 6.132374E-04, 1.017703E+00
301, 6.021270E-04, 1.017703E+00
302, 6.021270E-04, 1.017703E+00
303, 1.087625E-03, 1.997562E+00
304, 4.811569E-03, 1.624188E+01
305, 2.332143E-03, 1.997562E+00
306, 1.118785E-02, 1.624188E+01
307, 7.175119E-03, 1.624188E+01
308, 1.268112E-02, 1.624188E+01
309, 1.316967E-02, 1.624188E+01
310, 1.044337E-02, 1.624188E+01
311, 1.047777E-02, 1.624188E+01
312, 1.088442E-02, 1.624188E+01
313, 1.212844E-02, 1.624188E+01
314, 1.848657E-02, 1.624188E+01
315, 2.044369E-02, 1.695189E+01
316, 2.152090E-02, 1.695189E+01
317, 3.463908E-02, 5.072446E+01
318, 5.957969E-02, 1.014489E+02
319, 3.190853E-02, 1.872457E+01
320, 3.809600E-02, 1.872457E+01
322, 7.959018E-02, 5.072446E+01
323, 1.297240E-01, 2.357410E+02
325, 1.670038E-01, 1.531215E+02
326, 2.053558E-01, 1.531215E+02
328, 1.980745E-01, 1.178705E+02
329, 2.521014E-01, 1.178705E+02
330, 2.626680E-01, 1.178705E+02
331, 3.460401E-01, 1.531215E+02
332, 2.965463E-01, 1.178705E+02
334, 3.736961E-01, 1.531215E+02
335, 4.149420E-01, 1.531215E+02
337, 4.402433E-01, 1.531215E+02
338, 4.839294E-01, 1.531215E+02
339, 5.258196E-01, 2.592405E+02
340, 5.317152E-01, 2.592405E+02
341, 5.680291E-01, 2.592405E+02
342, 6.486179E-01, 2.592405E+02
344, 6.244342E-01, 2.592405E+02
345, 6.970819E-01, 2.592405E+02
347, 6.990537E-01, 2.592405E+02
348, 6.706963E-01, 1.178705E+02
350, 9.444918E-01, 5.201270E+02
351, 1.046005E+00, 7.801905E+02
353, 9.179935E-01, 2.600635E+02
354, 1.229923E+00, 7.801905E+02
355, 1.055518E+00, 2.600635E+02
356, 1.404011E+00, 7.801905E+02
357, 1.408213E+00, 7.801905E+02
359, 1.289356E+00, 2.600635E+02
360, 1.404200E+00, 2.600635E+02
362, 1.667686E+00, 7.801905E+02
363, 1.698193E+00, 7.801905E+02
364, 1.711412E+00, 7.801905E+02
365, 1.569024E+00, 2.614468E+02
366, 1.739979E+00, 7.801905E+02
367, 1.804047E+00, 7.801905E+02
369, 1.706053E+00, 2.614468E+02
370, 1.901602E+00, 7.801905E+02
372, 1.923097E+00, 7.801905E+02
373, 1.959902E+00, 7.801905E+02
375, 1.969690E+00, 7.801905E+02
380, 4.634521E+00, 9.557333E+03
385, 2.668129E+00, 7.801905E+02
390, 7.903852E+00, 2.050133E+04
