freq, max, avg
565, 0, 0.000000
567, 0, 0.000000
569, 0, 0.000000
570, 0, 0.000000
571, 0, 0.000000
573, 0, 0.000000
575, 0, 0.000000
576, 0, 0.000000
577, 32768, 32768.000000
578, 32768, 32768.000000
580, 32768, 32768.000000
581, 32896, 31061.014925
582, 32896, 31188.258065
583, 32896, 30319.875000
584, 32896, 27498.762475
585, 32928, 24263.484536
587, 32928, 23523.641855
588, 40960, 20071.446110
589, 32928, 19731.006784
590, 40960, 15416.259093
592, 41344, 14412.364662
594, 41344, 13219.312240
595, 50304, 11769.772023
596, 49151, 11765.448263
598, 50304, 11657.825145
600, 50491, 11188.011706
565, 0, 0.000000
567, 0, 0.000000
569, 0, 0.000000
570, 0, 0.000000
571, 0, 0.000000
573, 0, 0.000000
575, 0, 0.000000
576, 0, 0.000000
577, 0, 0.000000
578, 32768, 32768.000000
580, 32768, 32768.000000
581, 32768, 32150.943396
582, 32896, 31163.056180
583, 32896, 31157.802817
584, 32896, 29297.386667
585, 32896, 27346.261484
587, 32928, 23490.131148
588, 33280, 19753.804348
589, 40960, 18020.717208
590, 41088, 15548.102093
592, 41088, 16102.067511
594, 40960, 12496.797825
595, 49152, 12175.229439
596, 41088, 11688.472420
598, 50491, 11451.668121
600, 50491, 11240.953799
567, 0, 0.000000
569, 0, 0.000000
570, 0, 0.000000
571, 0, 0.000000
573, 0, 0.000000
575, 0, 0.000000
576, 32768, 32768.000000
577, 32768, 32768.000000
578, 32768, 32768.000000
580, 32768, 32768.000000
581, 32896, 31952.000000
582, 32896, 31552.893023
583, 32928, 30642.847458
584, 32896, 28522.398510
585, 32928, 26018.911243
587, 32928, 22823.168940
588, 40960, 19798.913441
589, 40960, 17880.000000
590, 40960, 15428.432486
592, 41088, 14806.488129
594, 40960, 13217.896508
595, 49120, 12111.478024
596, 50208, 11788.010109
598, 50304, 11484.410238
600, 50500, 11289.169579
567, 0, 0.000000
569, 0, 0.000000
570, 0, 0.000000
571, 0, 0.000000
573, 0, 0.000000
575, 0, 0.000000
576, 0, 0.000000
577, 32768, 32768.000000
578, 32768, 32768.000000
580, 32768, 32768.000000
581, 32768, 32200.347826
582, 32896, 30794.767773
583, 32896, 30774.767025
584, 32896, 26845.921708
585, 32928, 25478.416999
587, 32928, 24746.634845
588, 40960, 20404.825215
589, 40960, 18477.452981
590, 40960, 16384.414815
592, 41088, 14762.042226
594, 41344, 12884.427506
595, 41088, 11992.583237
596, 50432, 11741.722892
598, 50208, 11645.108576
600, 50500, 11258.784884
565, 0, 0.000000
567, 0, 0.000000
569, 0, 0.000000
570, 0, 0.000000
571, 0, 0.000000
573, 0, 0.000000
575, 0, 0.000000
576, 0, 0.000000
577, 0, 0.000000
578, 32768, 32768.000000
580, 32768, 32768.000000
581, 32896, 31756.031008
