freq, min_avg, max, min, illegal, max_avg
490, 0.000000E+00, 0, 0, 0, 0.000000E+00
492, 0.000000E+00, 0, 0, 0, 0.000000E+00
494, 0.000000E+00, 0, 0, 0, 0.000000E+00
495, 0.000000E+00, 0, 0, 0, 0.000000E+00
496, 0.000000E+00, 0, 0, 0, 0.000000E+00
497, 0.000000E+00, 0, 0, 0, 0.000000E+00
499, 0.000000E+00, 0, 0, 0, 0.000000E+00
500, 0.000000E+00, 0, 0, 0, 0.000000E+00
501, 0.000000E+00, 0, 0, 0, 0.000000E+00
502, 0.000000E+00, 0, 0, 0, 0.000000E+00
504, 8.317025E-02, 85, 85, 0, 8.317025E-02
505, 9.148728E-01, 89, 85, 0, 9.334638E-01
506, 9.980431E-01, 89, 85, 0, 1.018591E+00
507, 1.970646E+00, 107, 35, 2, 1.999022E+00
508, 2.064579E+00, 107, 35, 2, 2.147750E+00
509, 3.175147E+00, 107, 35, 2, 3.268102E+00
510, 3.832681E+00, 107, 36, 2, 3.951076E+00
512, 5.037182E+00, 108, 35, 5, 5.210372E+00
513, 6.539139E+00, 123, 35, 4, 6.722114E+00
514, 1.005088E+01, 123, 35, 12, 1.044129E+01
515, 1.019863E+01, 123, 35, 6, 1.060078E+01
517, 1.391096E+01, 123, 35, 9, 1.434932E+01
519, 1.673092E+01, 123, 19, 16, 1.753327E+01
520, 2.104990E+01, 123, 19, 8, 2.237084E+01
521, 2.139432E+01, 123, 19, 15, 2.260665E+01
522, 2.472016E+01, 123, 19, 17, 2.614481E+01
524, 2.638650E+01, 123, 19, 23, 2.793249E+01
525, 2.718885E+01, 123, 19, 22, 2.880528E+01
526, 2.799902E+01, 123, 19, 26, 3.027886E+01
527, 3.057632E+01, 123, 19, 30, 3.268591E+01
529, 3.310568E+01, 123, 19, 40, 3.582387E+01
530, 3.539139E+01, 125, 19, 42, 3.869472E+01
531, 3.861350E+01, 126, 19, 52, 4.328376E+01
532, 4.146380E+01, 126, 19, 67, 4.768395E+01
533, 4.795205E+01, 126, 15, 128, 5.953718E+01
534, 5.481018E+01, 126, 15, 184, 7.211546E+01
535, 5.694716E+01, 126, 15, 227, 7.681213E+01
537, 6.008904E+01, 126, 15, 265, 8.451859E+01
538, 6.185714E+01, 126, 15, 290, 8.910078E+01
539, 6.160372E+01, 126, 15, 287, 9.067221E+01
540, 6.053523E+01, 126, 15, 300, 9.137769E+01
542, 5.915949E+01, 126, 15, 303, 9.285127E+01
544, 5.723581E+01, 126, 15, 301, 9.358415E+01
545, 5.397847E+01, 126, 15, 315, 9.801761E+01
546, 5.296575E+01, 126, 15, 316, 1.000362E+02
548, 5.117417E+01, 126, 15, 304, 1.035186E+02
550, 4.400098E+01, 126, 15, 309, 1.072554E+02
