seed, avg, max, min
1,500419802.350015,502099609.500039,498437499.499996
2,413232211.699976,413472527.500042,412469243.499994
3,500730717.650011,501364713.500176,499902344.000016
4,400777434.500023,400777434.500023,400777434.500023
5,494024111.500021,494513583.999942,493478391.000018
6,509180799.949987,510293611.000007,508201217.500027
7,500324793.750020,501066084.000006,499410247.000023
8,450672990.500003,451540430.999982,450564955.500024
9,475843409.249965,476995332.499999,473046874.499996
10,483182970.050013,483777256.999941,482682800.500022
