freq, min, min_avg, max, illegal
426, 0, 0.000000, 0, 0
427, 0, 0.000000, 0, 0
429, 0, 0.000000, 0, 0
430, 0, 0.000000, 0, 0
431, 0, 0.000000, 0, 0
432, 0, 0.000000, 0, 0
433, 0, 0.000000, 0, 0
434, 0, 0.000000, 0, 0
435, 0, 0.000000, 0, 0
437, 0, 0.000000, 0, 0
438, 21, 21.600000, 24, 0
439, 21, 22.023810, 27, 0
440, 21, 22.114130, 27, 1
442, 21, 22.112022, 27, 2
444, 21, 22.036278, 27, 2
445, 21, 22.157895, 27, 0
446, 21, 22.157895, 27, 0
447, 21, 22.157895, 27, 0
449, 21, 22.157895, 27, 0
450, 6, 22.092068, 41, 0
451, 6, 21.440890, 44, 0
452, 6, 19.744924, 45, 2
454, 6, 17.327566, 45, 5
455, 6, 14.243902, 45, 9
456, 6, 10.076999, 45, 33
457, 6, 10.062130, 45, 33
458, 6, 9.938796, 45, 33
459, 6, 9.668307, 45, 33
460, 6, 9.587426, 45, 36
462, 6, 9.338235, 45, 36
463, 6, 9.260274, 45, 38
464, 6, 9.287671, 45, 39
465, 6, 9.274951, 45, 37
467, 6, 9.285714, 45, 37
469, 6, 9.285714, 45, 37
470, 6, 9.285714, 45, 37
471, 6, 9.285714, 45, 37
472, 6, 9.285714, 46, 37
474, 6, 9.213307, 48, 37
475, 6, 8.829746, 48, 37
476, 6, 8.539139, 48, 39
477, 6, 8.265166, 48, 41
479, 6, 8.093933, 48, 57
480, 6, 8.280822, 48, 37
481, 6, 8.280822, 48, 37
482, 6, 8.296477, 48, 37
483, 6, 8.294521, 48, 37
484, 6, 8.304305, 48, 37
485, 6, 8.310176, 48, 37
487, 6, 8.310176, 48, 37
488, 6, 8.315738, 48, 37
489, 6, 8.315738, 48, 37
490, 6, 8.315738, 48, 37
492, 6, 8.315738, 48, 37
494, 6, 8.311828, 48, 37
495, 6, 8.290323, 48, 37
496, 6, 8.279843, 48, 37
497, 6, 8.272994, 48, 37
499, 6, 8.272994, 48, 37
500, 6, 8.267123, 48, 39
501, 6, 8.272016, 48, 44
502, 6, 8.272994, 48, 44
504, 6, 8.265166, 48, 46
505, 6, 8.290323, 48, 49
506, 6, 8.264188, 48, 44
507, 6, 8.264188, 48, 44
508, 6, 8.292278, 48, 49
509, 6, 8.264188, 48, 44
510, 6, 8.292278, 48, 49
512, 6, 8.264188, 48, 44
513, 6, 8.292278, 48, 49
514, 6, 8.292278, 48, 49
515, 6, 8.264188, 48, 44
517, 6, 8.264188, 48, 44
519, 6, 8.292278, 48, 49
520, 6, 8.292278, 48, 49
521, 6, 8.292278, 48, 49
522, 6, 8.264188, 48, 44
524, 6, 8.292278, 48, 49
525, 6, 8.235812, 48, 64
526, 6, 8.258317, 48, 70
527, 5, 8.287671, 48, 61
529, 5, 8.304008, 48, 71
530, 5, 8.313840, 48, 63
531, 5, 8.214629, 48, 61
532, 5, 8.818266, 48, 44
533, 5, 8.086256, 48, 50
534, 5, 8.667240, 48, 38
535, 5, 8.707416, 48, 34
537, 5, 8.765737, 48, 36
538, 5, 8.986604, 48, 32
539, 5, 8.721057, 48, 31
540, 5, 8.330181, 48, 30
542, 5, 8.098503, 48, 31
544, 5, 8.140268, 48, 36
545, 5, 8.140268, 48, 36
546, 5, 8.195804, 48, 38
548, 5, 8.195804, 48, 38
550, 5, 8.124116, 48, 36
551, 5, 8.076503, 48, 36
552, 5, 8.081288, 48, 38
553, 5, 7.942105, 48, 48
555, 5, 7.910876, 48, 49
556, 5, 7.795843, 48, 44
557, 5, 7.752000, 48, 47
558, 5, 7.887918, 48, 47
559, 5, 7.745310, 48, 49
560, 5, 7.821454, 48, 52
562, 5, 7.839942, 48, 55
563, 5, 7.875812, 48, 56
564, 5, 7.841917, 45, 59
565, 5, 7.897163, 45, 31
567, 5, 7.901114, 45, 40
569, 5, 7.996596, 45, 24
570, 5, 8.079408, 45, 20
571, 5, 8.148522, 45, 21
573, 4, 8.100000, 45, 21
575, 3, 8.009934, 51, 24
576, 3, 7.948467, 51, 25
577, 3, 7.926861, 51, 23
578, 3, 8.039409, 51, 25
580, 3, 8.009202, 51, 25
581, 3, 8.532184, 51, 28
582, 3, 8.579596, 51, 29
583, 3, 8.978994, 51, 29
584, 3, 8.934435, 51, 31
585, 3, 9.041170, 51, 28
587, 3, 9.182599, 51, 33
588, 3, 9.083377, 51, 37
589, 3, 9.079275, 51, 31
590, 3, 8.993233, 51, 36
592, 3, 9.103870, 51, 31
594, 3, 9.212076, 51, 36
595, 3, 8.949654, 51, 35
596, 3, 8.916461, 51, 32
598, 3, 8.671913, 51, 39
600, 3, 8.274241, 51, 50
