seed, avg, max, min
1,530469879.850009,531659622.500107,529687260.500052
2,486623119.800001,486714414.500036,486471744.499997
3,486020258.699999,486680079.999981,485618205.999933
4,522623279.049999,523828125.000000,521871184.500023
5,391422116.300035,391987403.000045,390039003.000129
6,451218397.350017,452535247.000023,450582122.000023
7,507841197.350011,510278320.500058,504296874.499996
8,501635979.000005,502339695.999981,500360107.000008
9,521952074.699981,523340396.000034,519613806.999987
10,508961088.449995,510186767.500030,508202647.500002
