freq, avg, max
360, 0.000000, 0
362, 0.000000, 0
363, 0.000000, 0
364, 0.000000, 0
365, 0.000000, 0
366, 0.000000, 0
367, 0.000000, 0
369, 0.000000, 0
370, 0.000000, 0
372, 0.000000, 0
373, 448.000000, 512
375, 420.571429, 512
376, 448.000000, 512
378, 448.000000, 512
379, 424.000000, 512
380, 433.777778, 512
381, 171799208.960000, 4294967296
382, 165191684.923077, 4294967296
384, 642.461538, 3584
385, 306783841.523810, 4294967296
387, 286331690.666667, 4294967296
388, 306783924.571429, 4294967296
389, 277129037.419355, 4294967296
390, 249304099.428571, 4294967296
391, 246702893.837838, 4294967296
392, 214792082.070588, 4294967296
394, 246131998.666667, 4294967296
395, 240734898.758621, 4294967296
397, 212804566.037736, 4294967296
398, 250620642.133333, 7516192768
400, 197712482.552147, 4294967296
401, 220807121.733333, 7516192768
402, 187864598.688525, 4294967296
404, 227523581.477833, 7516192768
405, 255743027.636364, 7516192768
406, 220739860.590164, 7516192768
407, 240249193.918699, 7516192768
408, 257568946.509804, 7516192768
409, 225589177.963370, 7516192768
410, 186681212.638436, 7516192768
412, 259965625.278997, 7516389376
413, 178621824.752137, 7516192768
414, 162503294.089239, 7516192768
415, 185964361.878788, 7516192768
417, 183521063.483254, 7516192768
419, 277302830.207469, 8589934592
420, 223506045.478599, 7516192768
421, 278382127.718310, 8589934592
422, 314493170.491349, 8589950976
424, 316968679.477977, 8589934528
425, 363252569.581921, 8589934592
426, 359704828.815752, 8589935104
427, 357717836.145357, 8589934592
429, 373053148.636816, 8589934592
430, 429568947.941507, 8589938688
431, 394484396.765217, 8589934600
432, 398727579.585641, 8590458872
433, 444674702.081238, 8589934816
434, 419909461.687861, 8589938688
435, 406610433.230181, 8590458872
437, 426480037.676259, 8590458872
438, 451512698.019934, 8590458872
439, 504611159.695300, 8589936640
440, 540089756.083200, 9126807552
442, 530883198.839314, 9126807552
444, 577106778.512635, 9126807552
445, 484620837.168633, 8857321472
446, 500644195.412475, 8623489024
447, 511358380.366513, 8859418624
449, 497850818.456494, 8859418624
450, 611331911.203980, 8858370048
451, 548143364.561865, 9663675392
452, 534333669.320732, 8859418624
454, 527744466.840949, 8859418624
455, 565984929.935557, 9661595648
456, 558474052.246361, 10737942656
457, 592596583.868924, 10737942656
458, 623988867.627706, 10737942656
459, 617666164.592197, 8790212864
460, 622504572.008466, 10737549440
462, 638386541.217209, 10737942656
463, 681311975.587629, 10737549440
464, 675170589.351267, 9663872896
465, 701512469.603687, 9663872896
467, 723659509.656442, 10737549184
469, 758569758.258586, 10935599360
470, 898581526.758065, 12884639424
471, 834173286.921079, 10735841280
472, 899355226.849151, 13421514760
474, 898398202.588352, 12884643848
475, 1061115620.305253, 13960740736
476, 1098651999.002474, 13960740736
477, 1132472954.084200, 14026802112
479, 1130323634.084896, 12946718592
480, 1176556109.467060, 14026802112
481, 1367245201.230467, 17720406160
482, 1518953259.866405, 26289643552
483, 1856642174.403931, 26289639584
484, 2312413262.765916, 24763421704
485, 3308474958.774352, 26843778672
487, 3270824950.937776, 28981055232
488, 2730796080.324853, 29249494656
489, 2769103788.039139, 29249494656
490, 2844725136.559413, 25772179472
492, 2890401993.811247, 29249232512
494, 2948008001.220538, 29249244800
495, 3002578570.611926, 26107462144
496, 3045506461.857283, 26107200064
497, 3065238943.581418, 26107461120
499, 3099700048.903226, 29249244800
500, 3149005258.617115, 29249240704
501, 3210318646.572825, 29253439104
502, 3204029259.824047, 29253439104
504, 3292255744.203323, 29997664872
505, 3334071625.653959, 26140982856
506, 3437893796.480938, 28991032624
507, 3362284170.936461, 29253701248
