freq, avg, max, min
359, 0.000000E+00, 0, 0
360, 0.000000E+00, 0, 0
362, 0.000000E+00, 0, 0
363, 0.000000E+00, 0, 0
364, 0.000000E+00, 0, 0
365, 0.000000E+00, 0, 0
366, 0.000000E+00, 0, 0
367, 0.000000E+00, 0, 0
369, 0.000000E+00, 0, 0
370, -1.251222E-01, 512, -512
372, -2.502444E-01, 0, -512
373, -5.004888E-01, 0, -512
375, -1.751711E+00, 512, -512
376, -1.251222E+00, 512, -512
378, -1.063539E+00, 512, -512
379, -9.384164E-01, 512, -512
380, -3.440860E+00, 512, -3584
381, -2.099205E+06, 512, -4294967296
382, -7.788856E+00, 512, -3584
384, -2.099208E+06, 512, -4294967296
385, -8.821114E+00, 3584, -3584
387, 1.015867E+03, 2097152, -3584
388, 2.044872E+03, 4294967296, -4294967296
389, -5.227543E+05, 3221225472, -4294967296
390, -2.095874E+06, 2097152, -4294967296
391, -1.571330E+06, 4294967296, -4294967296
392, 1.577599E+06, 4294967296, -4294967296
394, 4.727558E+06, 6442450944, -4294967296
395, 6.302982E+06, 4294967296, -4294967296
397, 6.302988E+06, 4294967296, -4294967296
398, 4.206087E+06, 4294967296, -4294967296
400, 8.929513E+06, 7516192768, -4294967296
401, 9.977591E+06, 7516192768, -4294967296
402, 9.453915E+06, 7516192768, -4294967296
404, 7.320603E+06, 4294967296, -4294967296
405, 7.880936E+06, 7516192768, -4294983680
406, 3.680873E+06, 7516192768, -4294983680
407, 4.732658E+06, 7516192768, -4294983680
408, 5.746926E+06, 7516192768, -4294983680
409, 7.812602E+06, 7516192768, -4294967296
410, 3.615142E+06, 7516192768, -5368709120
412, -5.633699E+04, 4295229440, -4294967296
413, 5.529835E+06, 7516192768, -4294967296
414, 1.095794E+07, 8589934592, -5368709120
415, -6.047005E+06, 4295229440, -6442450944
417, 3.642455E+06, 8589934592, -7516192768
419, 8.689468E+06, 7516209152, -4294967296
420, 2.124137E+07, 8590458880, -7516192768
421, 5.769890E+06, 7516209152, -6442450944
422, 1.496196E+07, 8590458880, -7516192768
424, 9.387492E+06, 8590458880, -7516192768
425, 6.453908E+06, 8589934592, -7516192768
426, 1.550057E+07, 8589934592, -7516192768
427, -1.014621E+07, 8589934592, -8589672448
429, 5.001863E+07, 8590458880, -6443499520
430, 4.412808E+07, 8590458880, -6443499520
431, 2.862091E+07, 8589934592, -7516192768
432, 2.852145E+07, 8589934616, -7516192768
433, 1.899079E+07, 8589934592, -6442450944
434, 2.741475E+07, 8589934616, -6443499520
435, -1.993350E+07, 8589934592, -9663397920
437, 2.995097E+07, 8589934592, -6442450944
438, 1.922178E+07, 12886474752, -5368709120
439, 3.372793E+07, 12886474752, -5368709120
440, -1.135746E+07, 8628731904, -9663397920
442, 2.474105E+07, 12886474752, -8589934656
444, 3.220688E+07, 12886474752, -9663676480
445, 1.524709E+07, 12886474752, -9663676480
446, 4.063923E+05, 12886474752, -9663676480
447, -3.259251E+07, 8589938688, -9663266848
449, -3.021758E+07, 8589938688, -9663266848
450, -1.256705E+07, 12886474752, -9663676480
451, -5.386323E+06, 12886474752, -9663676480
452, 7.502985E+06, 12886474752, -9663676480
454, -1.375942E+07, 12886474752, -9663676480
455, -6.415158E+06, 12886474752, -9663676480
456, -9.824542E+06, 9395245056, -8590462496
457, 9.716984E+06, 12886474752, -9663676480
458, 2.343510E+07, 12886478848, -9663676480
459, 2.033534E+07, 12886478912, -9663676480
464, -5.503727E+07, 8590461952, -9756213248
470, -1.937459E+07, 13958905880, -10468978792
475, 3.159049E+07, 17176166400, -10720641536
480, -8.269096E+07, 17381195504, -19062080224
485, -5.437930E+08, 29728657056, -27111587880
490, 1.326304E+09, 27690793664, -12817566976
495, 1.348248E+09, 30853283456, -12901417976
500, -7.223679E+09, 14222605752, -30052471264
505, 1.498202E+09, 30047911136, -20448805360
510, 1.509707E+09, 30047943904, -14494220352
515, 1.460082E+09, 30047943904, -13990620672
520, 1.442236E+09, 30047939808, -13225697728
525, 1.497529E+09, 30602215680, -13689662592
530, 1.472143E+09, 30852992184, -13417824432
535, 1.461169E+09, 30852992184, -18399916176
540, 1.099856E+09, 30861378736, -19357888112
545, 6.107176E+08, 48096271860, -19659235415
550, -5.750080E+09, 48096271860, -38510526368
555, 4.069965E+09, 49924333624, -27989491764
560, 4.182569E+09, 49924202552, -27989491764
570, 7.906525E+08, 50111852816, -39713869127
580, 1.667740E+09, 48977047092, -70746462945
590, 8.014354E+08, 57539224591, -35645226255
600, 0.000000E+00, 0, 0
360, 0.000000E+00, 0, 0
362, 0.000000E+00, 0, 0
363, 0.000000E+00, 0, 0
364, 0.000000E+00, 0, 0
365, 0.000000E+00, 0, 0
366, 0.000000E+00, 0, 0
367, 0.000000E+00, 0, 0
369, 0.000000E+00, 0, 0
370, 0.000000E+00, 0, 0
372, -2.502444E-01, 0, -512
373, -6.256109E-02, 0, -128
375, -5.004888E-01, 0, -512
376, -1.063539E+00, 512, -512
378, -3.253177E+00, 0, -3584
379, -1.126100E+00, 512, -512
380, -3.847507E+00, 64, -3584
381, -2.099207E+06, 512, -4294967296
382, -4.191593E+00, 384, -3584
384, -4.198409E+06, 384, -4294967296
385, -2.099210E+06, 512, -4294967296
387, -4.198411E+06, 512, -4294967296
388, 2.044653E+03, 4294967296, -4294967296
389, -1.570304E+06, 4294967296, -4294967296
390, -5.207030E+05, 4294967296, -4294967296
391, -1.043327E+06, 4294967296, -4294967296
392, -1.043454E+06, 4294967296, -4294967296
394, 1.579654E+06, 8589934592, -4294967296
395, 7.303695E+03, 4294967296, -4294967296
397, -1.565689E+06, 4294967296, -4294967296
398, 1.059291E+06, 4294967296, -4294967296
400, -3.663632E+06, 4294967296, -4294967296
401, 2.107650E+06, 7516192768, -5368709120
402, 2.108437E+06, 7516192768, -5368709120
404, 1.059333E+06, 7516192768, -5368709120
405, 7.848858E+06, 7516192768, -5368709184
406, 4.208583E+06, 7516192768, -5368709184
407, 8.407179E+06, 7516192768, -4294967296
408, 5.783172E+06, 7516192768, -5368709184
409, 6.242664E+06, 7516192768, -4294987776
410, 4.653515E+06, 7516192768, -4294967296
412, 5.144658E+06, 7516192768, -4294967360
413, 2.032596E+06, 7516192768, -4294987776
414, 2.456010E+06, 7516192768, -4294987776
415, 7.267234E+06, 7516192768, -4294967296
417, 1.251975E+07, 7516192768, -4294967296
419, -9.647719E+06, 8589934592, -4294987776
420, 3.124562E+06, 8589950976, -4294987776
421, 5.730115E+06, 8589950976, -4294971392
422, 2.480742E+07, 8589934592, -7516192776
424, -9.718725E+05, 8589950976, -5368709120
425, 3.869472E+07, 8589934592, -7516192776
426, 2.714438E+07, 8589934640, -7516192776
427, 5.232870E+07, 8589934640, -7516192776
429, 3.043724E+07, 8589934640, -7516192776
430, -1.245090E+07, 8589950976, -8587837440
431, 1.233022E+06, 8589934640, -8589934592
432, -2.437422E+07, 7516192768, -9667870720
433, -4.744130E+07, 8589934592, -9667870720
434, -4.877331E+07, 8589934592, -9666822144
435, -2.707735E+07, 9663676416, -8589934592
437, -3.156754E+07, 8589934592, -8589934592
438, -5.387601E+07, 11542724608, -8589967360
439, -2.428338E+07, 9663676416, -8589934592
440, -4.125860E+07, 8589934592, -9666822144
442, -1.979974E+07, 11542724608, -8589934592
444, -8.329459E+06, 9393667968, -9666822144
445, -1.444337E+07, 11542724608, -8589967360
446, -3.193609E+07, 8590983040, -9666821888
447, -1.395945E+07, 8591507456, -8589967360
449, -2.711103E+07, 8590458880, -9663676416
450, -1.405277E+07, 11542724576, -8589934592
451, -6.307539E+07, 8657042944, -9666821504
452, -7.254632E+07, 9108979840, -9666821504
454, -2.286435E+07, 11538530176, -9663676408
455, -5.508425E+07, 9109241984, -9666821504
456, -1.590852E+07, 11538530176, -8589934584
457, -3.138623E+07, 11538530176, -8589934584
458, -4.736113E+07, 11539054464, -9670488064
459, -5.925599E+07, 10737680352, -9666821568
460, -2.360381E+07, 11539054464, -9663676288
465, 7.346641E+06, 13958373376, -9663676536
470, 1.221093E+07, 13958373376, -10736893904
475, 2.057084E+07, 15149826048, -12884967872
480, -3.360138E+07, 17448574528, -18000642576
