freq, avg, max
308, 875852174026742400.000000, 4116339927249875820
309, 863376864374404480.000000, 4116339927249875820
310, 841147486985977216.000000, 4116339927249875820
311, 823248508342018816.000000, 4116339927249875820
312, 803144319316854272.000000, 3843667442525331369
313, 791930925026312320.000000, 3843667442525331369
314, 776692281477604992.000000, 3311380464435224414
315, 776983691011940608.000000, 3311380453685409966
316, 777066460235991552.000000, 3311369445875415214
317, 775646419623759616.000000, 3232431922090758270
318, 772841108792836352.000000, 3311391461495404718
319, 759388587041092480.000000, 3311391461495404718
320, 754570267905884800.000000, 3115121552211664366
322, 748327982239066240.000000, 3012606130225645550
323, 741951334225686144.000000, 3012606130225645550
325, 740498878031194752.000000, 3062649565148574435
326, 731065056979108608.000000, 3062641940283673027
328, 733397633735274624.000000, 3062649557638418791
329, 686025958747192448.000000, 3062649557638418791
330, 675555456803546880.000000, 3062649557638418791
331, 672844277818238336.000000, 3062649557638418791
332, 667555353197440896.000000, 3062895650418561385
334, 631944706816936704.000000, 3062895650418561385
335, 580474866744231168.000000, 2431450543415422376
337, 565684121651064704.000000, 3062895650418561385
338, 548631370701021248.000000, 2324915167645219011
339, 548081282122398144.000000, 2324915167645219011
340, 547626692750610496.000000, 2301912612928260775
341, 547539334398766720.000000, 2315704236826507458
342, 547839670873287680.000000, 2314340960486002447
344, 547821624802272512.000000, 2314340977623005184
345, 524496168345526400.000000, 2314340977623005184
347, 484076827555696704.000000, 2314343171159355392
348, 368759198986221440.000000, 2314338775496196096
350, 300033159001533248.000000, 2314338775496196096
351, 269709933004870752.000000, 2314338775496196096
353, 269704608927371328.000000, 2314268573743579136
354, 270064584486468320.000000, 2314338775496196096
355, 269859273803521152.000000, 2314338775227760640
356, 270583550278927680.000000, 2318059021468172288
357, 271635652467531104.000000, 2318059004556738560
359, 273651242965780544.000000, 2318059021468172288
360, 251045563379193952.000000, 2300089563365769216
362, 208500524371233760.000000, 2273662760589984002
363, 142205780534094576.000000, 2273946434589950210
364, 137010355991764304.000000, 2273946434589950210
365, 136726515615494080.000000, 2273946434589950210
366, 138133138201784288.000000, 2273946434589950210
367, 140555800770276032.000000, 2273946434589950210
369, 143254605340700880.000000, 2273946434589950210
370, 103121574593839136.000000, 2214170893582598144
372, 97292306060551616.000000, 2273946434589950722
373, 25764190828986192.000000, 2214733843536019456
375, 2224523929854943.000000, 52552624981409792
376, 2792879312276729.000000, 40250921669624064
378, 3181682720233740.000000, 40250921669624064
379, 3536621861552428.500000, 40250990389100800
380, 3787049659165408.000000, 40250921669624064
381, 4017611688797297.000000, 40250990389100800
382, 4419999070936007.500000, 40250990389100800
384, 4431685996811456.000000, 39125038942650368
385, 4373650895542956.000000, 39125038942650368
387, 4424525049098505.500000, 144148656340074544
388, 12336040039507310.000000, 576531185101176832
389, 28913003368102676.000000, 576671721097003008
390, 48351086481894424.000000, 576634393961433088
391, 80278645127916432.000000, 578394657965211648
392, 92369424644580336.000000, 578653609934979072
394, 94516608680773120.000000, 578803537778049024
395, 563268222806553.250000, 98549684074708992
397, 549824356118083.125000, 97142309191155712
398, 543831707605546.875000, 97142309191155712
400, 447870239156800.625000, 26870414915403776
401, 447458687952423.375000, 26870414915403776
402, 533395423049061.625000, 97142309191155712
404, 538274023678591.062500, 97142309191155712
405, 528373799313143.750000, 97142309191155712
406, 441770375301599.812500, 25084715153227776
407, 428432215214325.000000, 26870431351832576
408, 437031809211818.375000, 25084715153227776
409, 435073762914966.125000, 25084715153227776
414, 1044636260330367.500000, 34573043086917632
420, 4561733030028386.000000, 38173383236780032
425, 5212222308465241.000000, 384051945855254528
430, 73014374694320736.000000, 585797225748103168
435, 72374501485216816.000000, 586078700724813824
440, 208942081710136224.000000, 1680824909292371968
445, 214487853146186784.000000, 1680824909292371968
450, 216418695169564832.000000, 1710058375431192576
455, 216332595433025984.000000, 1710058375431192576
460, 216394980329095968.000000, 1710058375431192576
465, 214653975603009792.000000, 1680824978053791744
470, 216527478452028864.000000, 1709918737454465024
475, 215774036655794944.000000, 1687186419262423040
480, 215716773782073440.000000, 1685045350502178428
485, 215806841475913728.000000, 1685045350502178428
490, 217812795107913376.000000, 1697096427357539408
495, 218458013936480640.000000, 1697652316384726096
500, 220976574774450720.000000, 1708490559835996160
505, 219681856346687264.000000, 1693148724273548368
510, 225268810721961888.000000, 1697652316384726096
520, 258528885890147104.000000, 1940849705778492416
530, 338679197112430784.000000, 1940884906761073664
540, 606904675461035264.000000, 2972899849605017880
550, 612666115976190464.000000, 2854110756816879616
560, 612531207186574976.000000, 2855554690458648576
570, 864220722241928704.000000, 3951276170457216348
580, 898082439467133184.000000, 4081922983506673249
590, 1078124130157162624.000000, 3987491465643722649
600, 0.000000, 0
308, 885922804545632128.000000, 4116339927249875820
309, 868741221224923008.000000, 4116339927249875820
310, 841466575580414080.000000, 4116339927249875820
311, 817866906828206976.000000, 4116339927249875820
312, 795669645638636928.000000, 3400739628034402689
313, 787349006941772416.000000, 3843667442525331369
314, 777657346882239488.000000, 3311380464435224414
315, 776948764539749120.000000, 3311380464435224414
316, 776878222022614528.000000, 3311380464435224414
317, 775397049028096128.000000, 3311369445875415214
318, 768149852383530112.000000, 3311391461495404718
319, 765283473465841536.000000, 3232431922090758270
320, 753932580705974784.000000, 3232431922090758270
322, 746371769296715008.000000, 3232431922090758270
323, 741865049895120512.000000, 3099928364836947950
325, 740865176476822784.000000, 3012606130225645550
326, 732392417461814144.000000, 3062641940283673027
328, 719732312140739072.000000, 3062649630683183555
329, 685985594833148544.000000, 3062649557638418791
330, 682687125108760064.000000, 3062649557638418791
331, 671701219430993792.000000, 3062649557638418791
332, 669926722149794688.000000, 3062649557638418791
334, 654356317406584960.000000, 3062895650418561385
335, 589032724714026240.000000, 2733143464887842762
337, 562132525067181888.000000, 2324915167645219010
338, 548607204438956352.000000, 2324915167645219010
339, 548530918111862912.000000, 2324915167645219011
340, 547752275401145216.000000, 2301912612928260775
341, 547459365272360896.000000, 2314340960486002447
342, 547291043618884864.000000, 2314340977623005184
344, 547286362435270656.000000, 2314340977623005184
345, 540327157857321728.000000, 2314340977623005184
347, 508713227657263040.000000, 2314340977622480896
348, 358359731878626432.000000, 2314340977622480896
350, 322027207295389952.000000, 2314343171159355392
351, 269707669915393216.000000, 2314343171159355392
353, 269713163597771264.000000, 2314338775496196096
354, 269707743741462496.000000, 2314268573743054848
355, 270146501514500608.000000, 2318059021468172288
356, 270297619431804416.000000, 2314268573743054848
357, 271855042537742784.000000, 2318059004556738560
359, 273095399097532672.000000, 2314268573743054848
360, 251102883452135200.000000, 2300089563365769216
362, 233436127099765472.000000, 2300089563365769216
363, 151477149228462944.000000, 2273946434589950210
364, 137626442881030896.000000, 2273946434589950210
365, 136618472273109552.000000, 2273946434589950210
366, 139128055128290688.000000, 2273946434589950210
367, 140263166564705328.000000, 2273946434589950210
369, 145963267077236928.000000, 2273946434589950210
370, 91806649477201952.000000, 2214170893582598144
372, 85798675038147120.000000, 2189795700852654081
373, 17109634808853396.000000, 2214170893582598144
375, 6828400856128254.000000, 2004603398313213987
376, 2492868217551160.000000, 40250921669624064
378, 3329475329713014.500000, 40250921669624064
379, 3421544715930772.500000, 39125038942650368
380, 3651425458264410.000000, 40250990389100800
381, 3839295547525579.000000, 39125038942650368
382, 4290509843447394.500000, 40250990389100800
384, 4403077613990558.500000, 39125038942650368
385, 4502122644651171.000000, 144148656340074544
387, 4449065523742102.000000, 144148656340074544
388, 9526301513537562.000000, 576518918347685888
389, 25305552416267608.000000, 576531185101176832
390, 325669323811805.187500, 143585680348413952
391, 394948824351891.937500, 143585680348413952
392, 256963069481444.468750, 3190743283793920
394, 603479540347665.250000, 143585680348413952
395, 99583917791624848.000000, 578653609934979072
397, 100645236669101552.000000, 578803537778049024
398, 108245768687471168.000000, 756927993817859073
400, 115729390138703504.000000, 828985586245174273
401, 130389192346064848.000000, 828985587855787009
402, 138228748118005712.000000, 828985587855787009
404, 147880176244551360.000000, 828990836205682977
405, 170936349976669248.000000, 840792627702924546
406, 170807525323131616.000000, 839501010777933058
407, 170641607414174816.000000, 839501115882996994
408, 175855524016076032.000000, 866951793082368640
409, 181328636664141184.000000, 1011335817718399379
414, 205955480176446784.000000, 1092122935407149056
420, 209135310464261728.000000, 1093266427500036096
425, 208812443385644704.000000, 1093266427500036096
430, 271735922027103232.000000, 1258168822692054336
435, 277781605795698080.000000, 1290767553870430208
440, 399336109258988864.000000, 2069684014586792000
445, 419507160531475008.000000, 2069684014586808384
450, 419570331290701248.000000, 2069683935322851392
455, 547083950624616128.000000, 2824370913145784352
460, 549186537392772544.000000, 2824370913145784352
465, 549450581185424384.000000, 2824370913145784368
470, 550379053115201344.000000, 2390689782678710317
475, 553402287533844288.000000, 2824351741218129968
480, 555959078383152960.000000, 2419870822001303597
485, 559086752960936512.000000, 2818689049027495984
490, 563382753140678400.000000, 2818618337135241336
495, 695176985705748480.000000, 4120976346835946322
500, 727570724405199616.000000, 4403842021972764768
505, 729731731091888000.000000, 4080403066484001618
510, 735554506503099008.000000, 4114355774240688978
520, 766219726934249728.000000, 4080429304732948577
530, 736458418652544128.000000, 4079564288095918177
540, 957148352333038080.000000, 4130564091328894293
550, 976564486374202496.000000, 4527438109307144288
560, 1002573087304486528.000000, 4454040626792958287
570, 1571758595633759744.000000, 4515645680816830577
580, 1728651306421929728.000000, 4541204101839685632
590, 1692647823598914048.000000, 4501309717832332841
600, 1049559724657433600.000000, 4245691200344952606
308, 877662205175819008.000000, 4116339927249875820
309, 858070445652965632.000000, 4116339927249875820
310, 836506971902837632.000000, 3843667442525331369
311, 834019000518547072.000000, 4116339927249875820
312, 806424822525805184.000000, 4116339927249875820
313, 787684861162776576.000000, 3843667442525331369
314, 782182427586730112.000000, 3311380464435224414
315, 776955711568114816.000000, 3311380464435224414
316, 776978011035302016.000000, 3311391461495404718
317, 775115789254779648.000000, 3232431922090758270
318, 774494316382426496.000000, 3311391461495404718
319, 761216004635225088.000000, 3311391461495404718
320, 751770298714126208.000000, 3311391461495404718
322, 747407355134907136.000000, 3095494565583216110
323, 743168795416654592.000000, 3012606130225645550
325, 741640034492351232.000000, 3012606130225645550
326, 729146770025360000.000000, 3062649630683183555
328, 725656036434701952.000000, 3062649565148574435
329, 687779594414535680.000000, 3062649557638418791
330, 677553477429825152.000000, 3062649557638418791
331, 670194809857838464.000000, 3062649557638418791
332, 667962394727472000.000000, 3062895650418561385
334, 643133162922949888.000000, 3062895650418561385
335, 566750262489170368.000000, 2663371996226798113
337, 557683009096064256.000000, 2431450543415422376
338, 548593691722441408.000000, 2324915167645219011
339, 548183085419721152.000000, 2301912612928260775
340, 547949422238512384.000000, 2324915167645219010
341, 547521880739443584.000000, 2314340960486002447
342, 547395062128341312.000000, 2314340977623005183
344, 547822384422217728.000000, 2314340960486002447
345, 532840369940256640.000000, 2314343171159355392
347, 481693574882321920.000000, 2314340977623005184
348, 369421537276228736.000000, 2314343171159355392
350, 308536503500956480.000000, 2314343171159355392
351, 269441065681865120.000000, 2314338775496196096
353, 269717336642750400.000000, 2314338775496196096
354, 269674864088372448.000000, 2313707045617795072
355, 269708435723644192.000000, 2314338775496720384
356, 270429463759080320.000000, 2314268573743579136
357, 270257426099403552.000000, 2318059004556738560
359, 271977676858067232.000000, 2313707045617795072
360, 264446106156283328.000000, 2275883134639669506
362, 207750351012783008.000000, 2273662760589984002
363, 159507222025786208.000000, 2300089563365769216
364, 136591254299537856.000000, 2273946434589950210
365, 136521838760721248.000000, 2273946434589950210
366, 137857432948089536.000000, 2273946434589950210
367, 140732761097393936.000000, 2273946434589950210
369, 143426499717833936.000000, 2273946434589950210
370, 106276125493056496.000000, 2273946434589950722
372, 101973477199309872.000000, 2213812511847743488
373, 11951567583658386.000000, 2036433146735493634
375, 2075431276300483.250000, 40250921669624064
376, 2714255418511060.500000, 40250921669624064
378, 3184980601648469.500000, 40250921669624064
379, 3515543407632501.000000, 39125038942650368
380, 3655227168344949.500000, 40250921669624064
381, 3949865029429884.000000, 40250990389100800
382, 4300165019211107.500000, 40250990389100800
384, 4359755624395397.000000, 40250990389100800
385, 378237271171265.500000, 144148630301835264
387, 76168829041513.046875, 1970324836974592
388, 341654637370316.312500, 143585680348413952
389, 314772540760822.312500, 143585680348413952
390, 348161298923520.000000, 143585680348413952
391, 354803575003694.562500, 143585680348413952
392, 433334441708722.437500, 97423784167866368
394, 592263054811422.875000, 134578481093672960
395, 560164535115993.500000, 98549684074708992
397, 562745401746058.812500, 97142309191155712
398, 557843726624552.812500, 97142309191155712
400, 448373111937748.125000, 26870414915403776
401, 551563662846548.812500, 97142309191155712
402, 545666236387012.937500, 97142309191155712
404, 442221670311353.937500, 26870414915403776
405, 446295456093525.312500, 25084715153227776
406, 444005045413161.312500, 25084715153227776
407, 447733690263669.687500, 25084715153227776
408, 433667134571529.250000, 25084715153227776
409, 426558159766653.750000, 26870431351832576
414, 858618515424636.875000, 34986461069574144
420, 5034445100302067.000000, 36498808697257984
425, 4600393062672401.000000, 46465756927361024
430, 72849763400453008.000000, 585797225748103168
435, 72455043402491168.000000, 585797225748103168
440, 206277483282991776.000000, 1710058392621940736
445, 217054482542170656.000000, 1710058392621940736
450, 214597384189627264.000000, 1680824975906308096
455, 214604331280145824.000000, 1680824978053791744
460, 216425140076011136.000000, 1710058375431192576
465, 216476326405813216.000000, 1709917775381790720
470, 215014072683913120.000000, 1681044639324307456
475, 217481160360308032.000000, 1709857129369829376
480, 215852002307683296.000000, 1685045394709413888
485, 215814853937316480.000000, 1685045350502178428
490, 220573307714176096.000000, 1707630782404755456
495, 218461188794916480.000000, 1697652316384726096
500, 218517367017957600.000000, 1697652488183417936
505, 219104702271042272.000000, 1697652350744464464
510, 225561227657935520.000000, 1697652316384726096
520, 270555370441684832.000000, 1697406025652448336
530, 339536653658001856.000000, 1940884906223154176
540, 606145701787655680.000000, 2972899783037743384
550, 605838922257348224.000000, 2972892595499692312
560, 607684083357666304.000000, 2975080058993111320
570, 861436748427447296.000000, 3951251504225154396
580, 888761533488084480.000000, 3882662758682512944
590, 1083354691532882432.000000, 3987491465644968425
600, 0.000000, 0
308, 882910072999651328.000000, 4116339927249875820
309, 858182497213258624.000000, 4116339927249875820
310, 855918974597732736.000000, 4116339927249875820
311, 835327867268569984.000000, 4116339927249875820
312, 801389545602697856.000000, 4116339927249875820
313, 781065075191296256.000000, 3311380464435224414
314, 789902308561921408.000000, 3311380453685409966
315, 776871312534050176.000000, 3311391461495404718
316, 776767873699488256.000000, 3311391461495404718
317, 775378783200278144.000000, 3311391461495404718
318, 768912721571873792.000000, 3232431922090758270
319, 763183340783282304.000000, 3311391461495404718
320, 755147153808374656.000000, 3265748257971447938
322, 746969777013582336.000000, 3082463917914687470
323, 741686026557382016.000000, 3099928364836947950
325, 741598901689288192.000000, 3062641940283673027
326, 725062396371037056.000000, 3062641940283673027
328, 728785890715747072.000000, 3062649557638418791
329, 692208994540265472.000000, 3062649557638418791
330, 683209313426470912.000000, 3062895650418561385
331, 677667355649520512.000000, 3062649557638418791
332, 664227556464002560.000000, 3062895650418561385
334, 639896930586990720.000000, 3062895650418561385
335, 585677494771672576.000000, 2804814163114787868
337, 578725207139660672.000000, 3062895650418561385
338, 548377138418321792.000000, 2301631603804113575
339, 548198782084180672.000000, 2324915167645219011
340, 547735267440672448.000000, 2314340960486002447
341, 547522393462925760.000000, 2314340977623005183
342, 547297910675812672.000000, 2314340977623005183
344, 547286935351562880.000000, 2314340977623005184
345, 533509924948276672.000000, 2314340977623005183
347, 516813454312465088.000000, 2314340977623005184
348, 365063282496167488.000000, 2314343171159355392
350, 306897977576346304.000000, 2314343171159355392
351, 269709727231153568.000000, 2314338775496196096
353, 269712212228298496.000000, 2314338775496196096
354, 269519103814468928.000000, 2314268573743579136
355, 270101400128577664.000000, 2318059004556738560
356, 271137903571455584.000000, 2318059021468172288
357, 271368349404696576.000000, 2313566642111512576
359, 274079690940428544.000000, 2313566659291381760
360, 250272097872145888.000000, 2275883134639669506
362, 224739002517915936.000000, 2300089563365769216
363, 142831139634860160.000000, 2273662760589984002
364, 143983905261148640.000000, 2273946434589950210
365, 136903553509764016.000000, 2273946434589950210
366, 136401373107657008.000000, 2273946434589950210
367, 140551089059911424.000000, 2273946434589950210
369, 141952089727490240.000000, 2273946434589950210
370, 104060228744545024.000000, 2273946434589950210
372, 95072522417955312.000000, 2213812649286696960
373, 23542815246902928.000000, 2214733843536019456
375, 12056093459371454.000000, 2214733843536019456
376, 2638342234194104.500000, 40250921669624064
378, 3489109992279994.000000, 40250921669624064
379, 3591655933687951.500000, 40250921669624064
380, 3685912641835716.000000, 40250921669624064
381, 3911917269729497.500000, 39125038942650368
382, 4261968043676626.000000, 39125038942650368
