freq, avg, max
308, 19.297377, 8930.461408
309, 17.441252, 8930.461408
310, 14.660311, 6416.703030
311, 13.793227, 5759.953770
312, 14.149460, 6416.703030
313, 13.394786, 5759.953770
314, 13.296091, 5759.953770
315, 13.294995, 5759.953770
316, 13.314966, 5779.782623
317, 13.284220, 5762.156975
318, 13.104692, 5614.989745
319, 11.187063, 5614.989745
320, 12.635841, 5220.389976
322, 12.918199, 5614.989745
323, 10.696043, 5284.853323
325, 10.666821, 5220.389976
326, 10.760237, 5220.389957
328, 10.732960, 5220.389957
329, 10.669080, 5220.389957
330, 10.612162, 5220.389957
331, 10.598565, 5220.389957
332, 10.597001, 5220.389957
334, 10.121884, 5220.389957
335, 9.458481, 5220.389957
337, 3.251744, 1062.504090
338, 2.967892, 1062.504090
339, 3.010102, 1094.735763
340, 2.923014, 1062.504090
341, 2.959344, 1062.504090
342, 2.923548, 1062.504090
344, 2.923536, 1062.504090
345, 2.900447, 1062.504090
347, 2.754569, 1062.504090
348, 2.600836, 1062.504120
350, 2.396306, 1062.504120
351, 2.357280, 1062.506178
353, 2.357252, 1062.506178
354, 2.358011, 1062.506178
355, 2.357327, 1062.506178
356, 2.363680, 1062.506178
357, 2.363368, 1062.765582
359, 2.393900, 1062.765582
360, 2.369862, 1063.772122
362, 2.365090, 1063.772122
363, 2.322975, 1063.772122
364, 2.376794, 1062.765582
365, 2.381194, 1070.817905
366, 2.423291, 1071.824445
367, 2.451975, 1070.817905
369, 2.499436, 1071.824445
370, 1.852963, 1071.824445
372, 2.590613, 1071.824445
373, 0.759783, 378.207785
375, 0.114364, 52.231238
376, 0.118943, 52.231238
378, 0.128145, 52.231238
379, 0.126662, 52.231238
380, 0.131316, 52.231238
381, 0.135978, 52.231238
382, 0.140277, 52.231238
384, 0.141708, 52.286229
385, 0.141403, 52.286229
387, 0.136401, 52.231238
388, 0.184941, 52.231214
389, 3.522063, 2939.083578
390, 0.874740, 215.726582
391, 4.311557, 2939.083578
392, 4.250770, 2939.083578
394, 4.301812, 2961.944702
395, 0.002298, 0.438272
397, 0.002239, 0.438272
398, 0.002226, 0.438272
400, 0.003567, 1.006663
401, 0.003543, 1.006663
402, 0.003069, 0.814336
404, 0.003068, 0.814336
405, 0.002995, 0.814336
406, 0.002937, 0.814336
407, 0.003343, 1.006663
408, 0.002874, 0.814336
409, 0.002848, 0.814336
414, 0.006627, 2.826116
420, 0.025543, 7.466713
425, 0.071771, 44.965193
430, 0.455349, 52.421677
435, 0.451583, 52.481701
440, 1.252459, 157.313594
445, 1.328755, 157.313594
450, 1.293094, 134.861898
455, 1.290907, 134.861898
460, 1.291742, 134.861899
465, 1.336068, 157.313594
470, 1.292610, 134.861906
475, 1.338585, 157.313594
480, 1.340219, 157.313594
485, 1.340068, 157.313595
490, 1.352498, 158.711513
495, 1.357833, 159.023108
500, 1.328840, 134.781958
505, 1.358736, 159.023079
510, 1.370097, 159.023071
520, 1.526468, 178.176779
530, 1.593183, 178.174055
540, 8.959475, 2662.729802
550, 10.871302, 3723.021043
560, 10.850874, 3705.590950
570, 11.258076, 2652.978012
580, 13.688198, 3705.179178
590, 12.616001, 2680.400323
600, 0.000000, 0.000000
308, 19.357563, 8930.461408
309, 18.005181, 8930.461408
310, 15.270944, 5759.953770
311, 13.613761, 5759.953770
312, 14.295896, 6416.703030
313, 13.354258, 5759.953770
314, 13.315112, 5759.953770
315, 13.294948, 5759.953770
316, 13.297170, 5762.156975
317, 13.317368, 5779.782555
318, 13.154129, 5779.782555
319, 13.269247, 5779.782555
320, 10.794599, 5220.389976
322, 10.710410, 5284.853323
323, 10.732961, 5220.389976
325, 10.720138, 5220.389976
326, 10.721306, 5220.389976
328, 10.733644, 5220.389976
329, 10.650030, 5220.389957
330, 10.633303, 5220.389957
331, 10.595190, 5220.389957
332, 10.599235, 5220.389957
334, 10.453318, 5220.389957
335, 8.940510, 5220.389957
337, 7.252010, 5220.389957
338, 3.002526, 1094.735763
339, 2.936557, 1062.504090
340, 2.923642, 1062.504090
341, 2.921471, 1062.504090
342, 2.920725, 1062.504090
344, 2.920677, 1062.504090
345, 2.914599, 1062.504090
347, 2.847946, 1062.504090
348, 2.579220, 1062.504090
350, 2.470766, 1062.504090
351, 2.357279, 1062.506178
353, 2.357293, 1062.506178
354, 2.357350, 1062.506178
355, 2.359676, 1062.506178
356, 2.353991, 1062.765582
357, 2.372269, 1062.506178
359, 2.388527, 1062.514012
360, 2.374607, 1063.772122
362, 2.362661, 1063.772122
363, 2.319155, 1063.772122
364, 2.336014, 1063.772122
365, 2.383101, 1062.765582
366, 2.428120, 1071.824445
367, 2.446312, 1071.824445
369, 2.553964, 1071.824445
370, 1.090402, 378.207785
372, 1.707428, 1071.824445
373, 0.722389, 378.207785
375, 0.108289, 52.231238
376, 0.119318, 52.231238
378, 0.128872, 52.231238
379, 0.129694, 52.274228
380, 0.135549, 52.231238
381, 0.130064, 52.274228
382, 0.140085, 52.231238
384, 0.142173, 52.286229
385, 0.137400, 52.231238
387, 0.137184, 52.231238
388, 0.160801, 52.231214
389, 0.555330, 152.286779
390, 0.000582, 0.052440
391, 0.000786, 0.062641
392, 0.001494, 0.454932
394, 0.002186, 0.438272
395, 4.295624, 2984.805826
397, 4.264283, 2961.944702
398, 4.473611, 3144.833693
400, 4.603093, 3167.694816
401, 6.484316, 4607.945616
402, 7.566966, 4607.945616
404, 13.333616, 10483.254435
405, 13.751375, 10460.393311
406, 13.733780, 10483.301939
407, 13.720309, 10483.301939
408, 13.722643, 10460.395990
409, 14.170608, 10483.301939
414, 15.368215, 10483.301939
420, 15.334385, 10460.395990
425, 15.380010, 10483.301939
430, 15.627114, 10458.967181
435, 15.974306, 10483.301939
440, 6.044289, 1353.890761
445, 6.112410, 1353.890761
450, 6.114960, 1353.890760
455, 7.013312, 1353.890760
460, 7.020125, 1353.794747
465, 7.022577, 1353.794747
470, 18.179806, 10489.005970
475, 7.183202, 1353.843128
480, 17.943735, 10486.813996
485, 7.161331, 1355.371768
490, 7.215232, 1356.907980
495, 9.144470, 1356.754583
500, 20.174818, 10488.242437
505, 9.509788, 1355.266238
510, 9.707257, 1356.755803
520, 11.472375, 2961.294520
530, 11.311958, 2944.709253
540, 18.794879, 4796.820321
550, 17.422107, 5612.432787
560, 18.698300, 4084.832167
570, 51.695540, 27195.915003
580, 55.730296, 27574.783807
590, 71.373734, 46445.295205
600, 23.763489, 10820.312114
308, 16.868324, 6416.704224
309, 16.525945, 6416.703030
310, 14.763452, 6416.703030
311, 15.814872, 6416.704229
312, 13.708842, 5759.953770
313, 13.418571, 5759.953770
314, 13.349553, 5762.156975
315, 13.297383, 5762.156975
316, 13.299876, 5759.953770
317, 13.313682, 5762.156975
318, 13.247475, 5779.782555
319, 11.107610, 5614.989745
320, 10.881047, 5284.853323
322, 10.782656, 5284.853323
323, 10.701711, 5284.853323
325, 10.634052, 5220.389976
326, 10.620623, 5220.389976
328, 10.639033, 5220.389976
329, 10.667691, 5220.389957
330, 10.621749, 5220.389957
331, 10.599473, 5220.389957
332, 10.595102, 5220.389957
334, 10.514913, 5220.389957
335, 3.398373, 1094.735763
337, 7.099485, 5220.389957
338, 3.015033, 1094.735763
339, 2.924391, 1062.504090
340, 2.964798, 1062.504090
341, 2.950223, 1062.504090
342, 2.920849, 1062.504090
344, 2.923520, 1062.504120
345, 2.910249, 1062.504120
347, 2.753993, 1062.504090
348, 2.537023, 1062.504090
350, 2.407634, 1062.506178
351, 2.354977, 1062.506178
353, 2.357323, 1062.506178
354, 2.357307, 1062.506178
355, 2.357029, 1062.506178
356, 2.361457, 1062.506178
357, 2.355203, 1062.765582
359, 2.379191, 1062.765582
360, 2.386917, 1062.765582
362, 2.352753, 1063.772122
363, 2.333749, 1063.772122
364, 2.319035, 1062.765582
365, 2.390393, 1063.772122
366, 2.417954, 1071.824445
367, 2.456441, 1070.817905
369, 2.565958, 1070.817905
370, 2.495744, 1071.824445
372, 1.628812, 1071.824445
373, 0.131823, 52.274228
375, 0.105319, 52.231238
376, 0.104656, 52.231238
378, 0.118867, 52.231238
379, 0.127916, 52.274228
380, 0.131062, 52.231238
381, 0.140675, 52.231238
382, 0.140196, 52.231238
384, 0.139570, 52.231238
385, 0.000666, 0.052645
387, 0.000548, 0.050039
388, 0.000604, 0.052440
389, 0.000568, 0.052440
390, 0.000628, 0.052440
391, 0.000755, 0.062641
392, 0.001769, 0.438272
394, 0.002289, 0.438272
395, 0.002265, 0.438272
397, 0.002279, 0.438272
398, 0.002406, 0.438272
400, 0.003574, 1.006663
401, 0.003118, 0.814336
402, 0.003101, 0.814336
404, 0.003499, 1.006663
405, 0.002963, 0.814336
406, 0.002957, 0.814336
407, 0.002951, 0.814336
408, 0.002879, 0.814336
409, 0.003257, 1.006663
414, 0.003993, 0.814336
420, 0.021485, 2.826116
425, 0.025574, 7.466713
430, 0.454157, 52.421677
435, 0.452063, 52.481701
440, 1.215065, 134.861890
445, 1.296871, 134.861890
450, 1.328828, 157.313594
455, 1.329066, 157.313594
460, 1.291911, 134.861895
465, 1.291705, 134.861886
470, 1.337317, 157.313594
475, 1.302381, 134.861906
480, 1.339588, 157.313596
485, 1.340526, 157.313610
490, 1.309633, 134.690864
495, 1.357948, 159.023108
500, 1.358150, 159.023072
505, 1.358365, 159.023072
510, 1.373919, 159.023093
520, 1.511095, 185.171020
530, 1.615635, 178.175494
540, 8.899647, 2662.678690
550, 8.908235, 2663.168939
560, 9.155548, 2646.604920
570, 11.233668, 2646.726627
580, 11.389975, 2652.978013
590, 12.672808, 2680.385580
600, 0.000000, 0.000000
308, 19.415265, 8930.461408
309, 17.951004, 8930.461408
310, 19.135223, 8930.461408
311, 14.743478, 6416.703030
312, 13.443501, 5759.953770
313, 13.319478, 5759.953770
314, 13.378861, 5759.953770
315, 13.295015, 5759.953770
316, 13.292128, 5762.156975
317, 13.238104, 5762.156975
318, 13.219266, 5762.156975
319, 11.282236, 5779.782555
320, 13.060246, 5614.989745
322, 12.883639, 5614.989745
323, 10.645848, 5220.389976
325, 10.638436, 5220.389976
326, 10.706222, 5220.389976
328, 10.725641, 5220.389957
329, 10.690483, 5220.389957
330, 10.637908, 5220.389957
331, 10.610218, 5220.389957
332, 10.590239, 5220.389957
334, 10.331454, 5220.389957
335, 3.601226, 1094.735763
337, 3.342097, 1094.735763
338, 2.933362, 1062.504090
339, 2.965823, 1062.504090
340, 2.951853, 1062.504090
341, 2.955738, 1062.504090
342, 2.920713, 1062.504090
344, 2.920683, 1062.504090
345, 2.910097, 1062.504120
347, 2.882517, 1062.504120
348, 2.519605, 1062.504120
350, 2.421089, 1062.506178
351, 2.357265, 1062.506178
353, 2.355459, 1062.506178
354, 2.355031, 1062.506178
355, 2.361425, 1062.506178
356, 2.370136, 1062.506178
357, 2.366320, 1062.765582
359, 2.386515, 1062.765582
360, 2.382844, 1062.765582
362, 2.360535, 1063.772122
363, 2.323962, 1063.772122
364, 2.378026, 1063.772122
365, 2.385504, 1071.824445
366, 2.393667, 1071.824445
367, 2.454006, 1070.817905
369, 2.509125, 1070.817905
370, 2.203171, 1071.824445
372, 2.242487, 1071.824445
373, 0.223439, 52.274228
375, 0.128752, 52.274228
376, 0.120221, 52.231238
378, 0.128476, 52.231238
379, 0.127154, 52.231238
380, 0.130667, 52.231238
381, 0.129597, 52.274228
382, 0.138329, 52.274228
384, 0.140349, 52.231238
385, 0.139442, 52.286229
387, 0.137487, 52.231238
388, 0.170339, 52.231214
389, 0.610796, 215.733165
390, 0.000591, 0.052440
391, 0.000694, 0.052440
392, 0.001271, 0.097044
394, 0.001638, 0.101333
395, 0.002295, 0.438272
397, 0.002258, 0.438272
398, 0.002242, 0.438272
400, 0.002192, 0.438272
401, 0.003123, 0.814336
402, 0.003464, 1.006663
404, 0.003433, 1.006663
405, 0.003384, 1.006663
406, 0.002987, 0.814336
407, 0.003319, 1.006663
408, 0.003286, 1.006663
409, 0.002865, 0.814336
414, 0.003531, 0.814336
420, 0.021501, 2.826116
425, 0.023661, 2.826116
430, 0.439613, 52.421677
435, 0.451899, 52.421677
440, 1.126047, 157.313594
445, 1.331376, 157.313594
450, 1.328835, 157.313594
455, 1.291004, 134.861898
460, 1.332520, 157.313594
465, 1.291684, 134.861904
470, 1.336756, 157.313594
475, 1.339616, 157.313594
480, 1.341096, 157.313596
485, 1.302320, 134.690864
490, 1.351341, 158.711513
495, 1.358105, 159.023108
500, 1.358209, 159.023108
505, 1.356987, 159.023072
510, 1.352692, 134.781956
520, 1.536713, 178.176779
530, 1.564815, 185.179888
540, 8.959444, 2662.678690
550, 8.911932, 2663.168939
560, 9.144548, 2640.992605
570, 11.227368, 2646.923394
580, 11.373819, 2648.176289
590, 12.627488, 2680.401307
600, 0.000000, 0.000000
311, 0.000000, 0.000000
