freq, avg, max, min
150, 0.000000E+00, 0, 0
151, 0.000000E+00, 0, 0
152, 0.000000E+00, 0, 0
153, 0.000000E+00, 0, 0
154, 0.000000E+00, 0, 0
155, 0.000000E+00, 0, 0
156, 0.000000E+00, 0, 0
157, 0.000000E+00, 0, 0
158, 0.000000E+00, 0, 0
159, 0.000000E+00, 0, 0
160, 8.889160E+21, 4533471823554859405148160, 0
161, -9.481771E+21, 0, -4835703278458516698824704
162, 2.963053E+20, 302231454903657293676544, -302231454903657293676544
163, 5.926107E+20, 302231454903657293676544, 0
164, 2.963053E+20, 151115727451828646838272, 0
165, 2.963053E+20, 151115727451828646838272, 0
166, -8.889739E+21, 302231454903657293676544, -4835703278458516698824704
167, -6.704487E+21, 302231454903657293676544, -3418993333597623134715904
168, -2.816174E+22, 151115727451828646838272, -14355994107923721449635840
169, -2.517438E+21, 302231454903657293676544, -1208925819614629174706176
170, -1.631705E+21, 302231454903657293676544, -906694364710971881029632
171, 2.502076E+35, 127605887595351923798765477786913079296, -396678784561050197950464
172, -2.702122E+21, 151115727451828646838272, -302231454903657293676544
173, -3.152295E+21, 302231454903657293676544, -755578637259143234191360
174, 2.502127E+35, 127605887516123761284501140193369128960, -309485009821345068724781056
175, 3.181548E+29, 162259276829213363391578010288128, -309485009821345068724781056
176, 2.919089E+35, 148873535449920355290247433432753766400, -154742504910672534362390528
177, 2.919089E+35, 148873535449920355290247433432753766400, -309485009821345068724781056
178, 2.919140E+35, 148873535449920355290247433432753766400, -158456325028528675187087900672
179, -4.170127E+34, 755578637259143234191360, -21267645465344155670698025090530934784
180, 2.709055E+35, 138161829575967726663330864698172112896, -158456325028528675187087900672
181, -4.533498E+31, 42535295865078622306694157795380428800, -42535295865117308080495778518647439360
182, 4.170335E+35, 170141183460469231879261256305560518656, -618970019642690137449562112
183, 3.543038E+35, 170141183460469231731687303715884105728, -42535295865117307932921825928971026432
184, 1.539204E+36, 170141183460469231750134047789593657344, -21184571182822096724404425023217991680
185, 1.852420E+36, 170141264510879483528956756731992473600, -85070591730234615865843651857942052864
