freq, min_avg, max, min, illegal, max_avg
440, 0.000000E+00, 0, 35, 0, 0.000000E+00
442, 0.000000E+00, 0, 35, 0, 0.000000E+00
444, 0.000000E+00, 0, 35, 0, 0.000000E+00
445, 0.000000E+00, 0, 35, 0, 0.000000E+00
446, 0.000000E+00, 0, 35, 0, 0.000000E+00
447, 0.000000E+00, 0, 35, 0, 0.000000E+00
449, 0.000000E+00, 0, 35, 0, 0.000000E+00
450, 7.572057E-03, 16, 15, 0, 7.572057E-03
451, 1.172447E-02, 16, 16, 0, 1.172447E-02
452, 1.172447E-02, 16, 16, 0, 1.172447E-02
454, 1.563263E-02, 16, 16, 0, 1.196873E-02
455, 3.444064E-02, 16, 15, 0, 3.150953E-02
456, 3.028823E-02, 16, 15, 0, 2.002931E-02
457, 5.715681E-02, 16, 15, 0, 5.056180E-02
458, 5.324866E-02, 16, 15, 0, 4.274548E-02
459, 7.620909E-02, 16, 15, 0, 4.445530E-02
460, 9.086468E-02, 16, 15, 0, 5.227162E-02
462, 8.280410E-02, 16, 15, 0, 5.520274E-02
463, 1.235955E-01, 16, 15, 0, 6.130923E-02
464, 1.387396E-01, 16, 15, 0, 7.938447E-02
465, 1.465559E-01, 16, 15, 0, 7.694187E-02
467, 1.519297E-01, 16, 11, 0, 8.866634E-02
469, 2.271617E-01, 16, 11, 0, 1.289692E-01
470, 2.833415E-01, 16, 11, 0, 1.695164E-01
471, 3.688324E-01, 16, 11, 0, 2.413288E-01
472, 3.771373E-01, 16, 11, 0, 2.515877E-01
474, 4.342941E-01, 16, 11, 0, 2.843185E-01
475, 5.212506E-01, 16, 11, 0, 3.226673E-01
476, 5.627748E-01, 16, 11, 0, 3.842208E-01
477, 7.044455E-01, 16, 11, 0, 4.079140E-01
479, 6.827064E-01, 16, 11, 0, 4.489497E-01
480, 8.947240E-01, 16, 11, 0, 5.679043E-01
481, 1.013190E+00, 16, 11, 0, 6.399609E-01
482, 1.081094E+00, 16, 11, 0, 6.978505E-01
483, 1.211285E+00, 16, 11, 0, 7.701514E-01
484, 1.318515E+00, 16, 9, 0, 8.175379E-01
