freq, min_avg, max, min, illegal, max_avg
207, 0.000000E+00, 0, 127, 0, 0.000000E+00
208, 0.000000E+00, 0, 127, 0, 0.000000E+00
209, 0.000000E+00, 0, 127, 0, 0.000000E+00
210, 0.000000E+00, 0, 127, 0, 0.000000E+00
211, 0.000000E+00, 0, 127, 0, 0.000000E+00
212, 0.000000E+00, 0, 127, 0, 0.000000E+00
213, 0.000000E+00, 0, 127, 0, 0.000000E+00
214, 0.000000E+00, 0, 127, 0, 0.000000E+00
215, 0.000000E+00, 0, 127, 0, 0.000000E+00
216, 0.000000E+00, 0, 127, 0, 0.000000E+00
217, 0.000000E+00, 0, 127, 0, 0.000000E+00
218, 0.000000E+00, 0, 127, 0, 0.000000E+00
219, 0.000000E+00, 0, 127, 0, 0.000000E+00
220, 1.291585E-01, 71, 0, 0, 1.330724E-01
221, 1.291585E-01, 71, 0, 0, 1.330724E-01
222, 1.291585E-01, 71, 0, 0, 1.330724E-01
223, 2.465753E-01, 71, 59, 0, 2.632094E-01
224, 2.984344E-01, 71, 59, 0, 3.219178E-01
225, 5.489237E-01, 72, 59, 0, 5.792564E-01
226, 7.025440E-01, 71, 35, 0, 7.367906E-01
227, 7.818004E-01, 72, 53, 0, 8.170254E-01
228, 1.399217E+00, 72, 35, 0, 1.486301E+00
229, 2.111546E+00, 94, 35, 0, 2.263209E+00
230, 3.013699E+00, 82, 27, 0, 3.256360E+00
231, 3.814090E+00, 99, 27, 0, 4.153620E+00
232, 5.016634E+00, 99, 27, 0, 5.460861E+00
233, 5.719178E+00, 104, 27, 0, 6.303327E+00
234, 8.150685E+00, 110, 27, 0, 8.842466E+00
235, 1.013601E+01, 110, 27, 0, 1.096575E+01
236, 1.167515E+01, 104, 27, 0, 1.288160E+01
237, 1.446771E+01, 110, 27, 0, 1.614481E+01
238, 1.676223E+01, 110, 25, 0, 1.877202E+01
239, 1.980724E+01, 110, 21, 0, 2.267025E+01
240, 2.205577E+01, 110, 21, 0, 2.525832E+01
241, 2.549119E+01, 110, 21, 0, 2.998434E+01
242, 2.643738E+01, 120, 19, 0, 3.095205E+01
243, 2.916536E+01, 113, 19, 0, 3.547945E+01
244, 3.343053E+01, 120, 13, 0, 4.192270E+01
245, 3.416928E+01, 113, 19, 0, 4.382583E+01
246, 3.548532E+01, 114, 13, 0, 4.738748E+01
247, 3.834442E+01, 120, 13, 0, 5.210861E+01
248, 3.952153E+01, 114, 13, 0, 5.663014E+01
249, 4.065558E+01, 120, 13, 0, 6.015460E+01
250, 4.090900E+01, 121, 13, 0, 6.406947E+01
251, 4.118395E+01, 121, 13, 0, 6.698924E+01
252, 4.118982E+01, 121, 11, 0, 7.307534E+01
253, 3.945890E+01, 123, 11, 0, 7.505871E+01
254, 3.891194E+01, 124, 11, 0, 7.893542E+01
255, 3.727984E+01, 124, 11, 0, 8.116438E+01
256, 3.579746E+01, 125, 11, 0, 8.344912E+01
257, 3.462329E+01, 126, 11, 0, 8.602348E+01
258, 3.315460E+01, 126, 11, 0, 8.852740E+01
259, 3.186791E+01, 126, 11, 0, 9.031800E+01
260, 3.034540E+01, 126, 11, 0, 9.240117E+01
261, 2.919667E+01, 126, 11, 0, 9.416928E+01
262, 2.777495E+01, 126, 11, 0, 9.602642E+01
263, 2.687671E+01, 126, 11, 0, 9.683659E+01
264, 2.576321E+01, 126, 11, 0, 9.855675E+01
265, 2.478474E+01, 126, 11, 0, 9.957045E+01
266, 2.359687E+01, 126, 9, 1, 1.009432E+02
267, 2.297456E+01, 126, 9, 0, 1.013865E+02
268, 2.247358E+01, 126, 9, 0, 1.021928E+02
269, 2.149315E+01, 126, 9, 0, 1.036155E+02
270, 2.060861E+01, 126, 9, 0, 1.043503E+02
271, 2.023483E+01, 126, 9, 0, 1.054403E+02
272, 1.944227E+01, 126, 9, 2, 1.065910E+02
273, 1.904892E+01, 126, 9, 2, 1.070000E+02
274, 1.838160E+01, 126, 9, 5, 1.079022E+02
275, 1.774755E+01, 126, 9, 5, 1.086468E+02
276, 1.705088E+01, 126, 9, 4, 1.096477E+02
277, 1.683562E+01, 126, 9, 7, 1.100489E+02
278, 1.628376E+01, 126, 9, 9, 1.107554E+02
279, 1.589237E+01, 126, 7, 4, 1.117025E+02
280, 1.549315E+01, 126, 7, 9, 1.120930E+02
281, 1.527397E+01, 126, 7, 12, 1.126419E+02
282, 1.500196E+01, 126, 7, 11, 1.127681E+02
283, 1.460078E+01, 126, 7, 8, 1.135646E+02
284, 1.447358E+01, 126, 7, 6, 1.134814E+02
285, 1.429746E+01, 126, 7, 12, 1.141566E+02
286, 1.398043E+01, 126, 7, 14, 1.141204E+02
287, 1.385323E+01, 126, 7, 12, 1.143581E+02
288, 1.362035E+01, 126, 7, 12, 1.151751E+02
289, 1.354599E+01, 126, 7, 13, 1.153669E+02
290, 1.331703E+01, 126, 7, 10, 1.156389E+02
291, 1.316243E+01, 126, 7, 13, 1.161037E+02
