seed, avg, max, min
1,217715585.000005,219558479.500003,215199789.000002
2,219454282.500000,221093750.000000,217183685.000055
3,216132133.299999,216716801.999992,215218039.499984
4,212193781.699999,213896965.499993,209374999.499996
5,218382612.200004,219325657.000008,217183685.000055
6,218776943.200001,219796825.500006,217186546.500016
7,215423154.049998,217276197.000008,213281249.499996
8,213998693.150003,214319086.499988,213159179.499988
9,219634614.200008,221093750.000000,217183685.000055
10,216770732.599996,217312947.999987,216391877.500000
