freq, avg, max, min
122, 0.000000, 0, 0
123, 0.000000, 0, 0
124, 0.000000, 0, 0
125, 0.000000, 0, 0
126, 0.000000, 0, 0
127, 0.000000, 0, 0
128, 0.000000, 0, 0
129, 0.000000, 0, 0
130, 0.000000, 0, 0
131, 0.000000, 0, 0
132, -319911995015521245356621824.000000, 0, -319911995015521245356621824
133, -319911995015521245356621824.000000, 0, -319911995015521245356621824
134, -2380072707366301187702784.000000, 75557863725914323419136, -4835703278458516698824704
135, -2820826912434134919938048.000000, 1208925819614629174706176, -4835703278458516698824704
136, 795958805993081137952456704.000000, 5091995552216818083862413312, -319911995015521245356621824
137, 952732715552468052217954304.000000, 5091995552216818083862413312, -319911995015521245356621824
138, -5365371901554675544125553072144384.000000, 19287000644964651175929446400, -80480601307289828242222693102911488
139, -20769275234830524562321758394253312.000000, 16464530742525018037551104, -332306998946228968225951765070086144
140, -9230788736077046559586252977340416.000000, 19287000644964651175929446400, -332306998946228968225951765070086144
141, -6858158298148665060158002186682368.000000, 1298074214633706907132624082305024, -332306998946228968225951765070086144
142, -9182721812113206220326670285406208.000000, 1298074214633706907132624082305024, -332306998946228968225951765070086144
143, -5909183784860135911151321669959680.000000, 1298074214633706907132624082305024, -332306998946228968225951765070086144
144, -4693050861814737143476638835539968.000000, 1298074292004954462552496684400640, -332306998946228968225951765070086144
145, -2986550886245070215870339199533056.000000, 1348319687054772671563479130308608, -332306998946228968225951627631132672
146, 1245489214732051630901112443240448.000000, 1394509784214048629020182754143240192, -332306998946228968225951765070086144
147, -231371669945988070145199713223180288.000000, 1394509784214048633631868772570628096, -74353691014218731640554455634618089472
148, -28903606925239447573240730294943744.000000, 1329227996945487020917092502820880384, -11465261403079637394187332876742164480
149, -366488464974586220661300544787185664.000000, 1394509784214048633631869322326441984, -85070591730234615865844214807895474176
150, -23627749762326691524808946973933568.000000, 1329227996922459581354999395347595264, -11465261403079637394187332876742164480
151, -503214624913230987649441023104385024.000000, 1394509784214048628443722551595630592, -85070591730234615865843581489197875200
152, -104900812260731562633718333293199360.000000, 87209818035950964848793712748109234176, -85070591730234615875066742419820118016
153, -164303313976051666259259464328675328.000000, 5005374171627573817762497396872314880, -74353691014222496473443132414659395584
154, -305858663435416861277521898838687744.000000, 5005374112206451927452558183282769920, -74353691014223661717363773300361134080
155, -441659292847249797800685589938307072.000000, 85070591726674461557085396977877778432, -85070591730215273052166902884654383104
156, 111031153833839545656902915943563264.000000, 87209818035950964844170767728457547776, -85071098795424521697014848705036288000
157, -475024234429678552537888976411820032.000000, 120974738139916794840328756862232035328, -85070856593711437191203677706594418688
158, -844014954280483508686632387122036736.000000, 120980516823576354993978737546361307136, -112652072619862478898379158432696827904
159, -759852865302171691925486994546753536.000000, 87957508783850850232563595641926451136, -85070596945606488099051472127665897984
160, -568547130265237291291844442522124288.000000, 120974738145889518887403710547163611136, -85070596945606487896110268419557294592
161, -638687467547252029080806918778257408.000000, 116972064581130703519140477974366650368, -90387422583739790365678191355086503936
162, -749313371544062093664837210644414464.000000, 116972063309029074472472804369501257216, -110936170730056522569833463493787844608
163, -371403784062714067345002319166046208.000000, 340282366922790394291463149869630210176, -131640373353573460021899271691632197632
164, -228727679506042252624800031031951360.000000, 121956668613542557477307251527924580480, -85070591115865563181070550396124663680
165, -449783175419052632180207433264660480.000000, 340282366922790430589044300929669447680, -171376868994308428611576554361129730048
166, -737567350726310499259215825990582272.000000, 340282448048719708973547796736883474432, -172777692883146878001375188283700609024
167, -834687629534866726728575568545054720.000000, 121957966687120980868156682138102136960, -85075621280814505583458929722603601920
168, -1058547195081461913158571046012452864.000000, 121956663542304256351895192806038913152, -90741174442758010819162990854177619968
169, -2228257985937431296452762221496238080.000000, 123851877274711352957821139937975042560, -103142406220467571095504989541083250688
170, -2536604377803118261281135025994072064.000000, 340281721375402542225586299188040941824, -232620022967794561049486039685116477440
171, -1658816757881005526008948579903733760.000000, 340282366710455262799213730564387766400, -232620031138672015765347756797272817664
172, 871810439318601038641743126356557824.000000, 401675846410941283170697220191789076480, -170530554048002981664846312086506246336
173, 255070057606080239479276409368608768.000000, 340282363862599024234950020000710772608, -298608954776686706209458214725132845056
174, 1580953211390210612778343441497063424.000000, 393700478744543452521078128668696659456, -170244977700436148865916370962802923712
175, 340115110405835311151758702408630272.000000, 340282442994897281221038557640201455488, -179435190037534287885827661947759394816
176, 137179783406527382330266128379543552.000000, 390160045640742860136237049414755385344, -175615381422362572419659821717542663680
177, 1821163238922535761579100339838124032.000000, 354389323629610792371964132690656887808, -245907153581199003358176534521362953216
178, 1012867763129415211997434088337178624.000000, 340284378819262443205003269220645885504, -276093105919053241187649490201925730496
179, -165980069362062134263879952848912384.000000, 339768174653449105118404770397714967616, -276434953910549403750020096835361193168
180, 116579198313240901998384282538606592.000000, 342365103168134624691257015673587828736, -276442946125240957300873966864322645904
181, -160929302094243480515292613056659456.000000, 341679042220825281824107576112048329760, -276453085542805018208272359061537568928
182, 1576736986503075776709666515024084992.000000, 417865663093308235406350242076636084160, -279101887105060754536092248883346818832
183, 1711821556076044463315779915903664128.000000, 341149249652464046454171507592390567872, -278875252893621003560243571260309187392
184, 1941400207997017285844781520866246656.000000, 416021618265506650311921612792999559552, -280632351722465871443487620851553908352
185, 2810209708982895346752737132157075456.000000, 339950044664491342670170052169995949824, -276568689921847749966740757172643086752
186, 923115803725374850281130956460916736.000000, 342770010988107409829498843381592361024, -278759597644631678516813084825183095616
187, -1439924139980050921172031315891978240.000000, 416032770609103129356795008642967112512, -352795391206551626646469174007159817072
188, 2534815671846345269936444038323372032.000000, 380402647593165638608497694398810767296, -278026462031024286393898375092521562944
189, 1011628708242208406661609238407675904.000000, 435581252886358804810321126971955397648, -344255143448203797710882496833389324448
190, 13034997049612411803155019736285184.000000, 337920025695412285512093623594462266368, -392845696341202294103636175352974916416
191, 2503432215075824363266068096051314688.000000, 342699399721488950003274193975529166400, -342258830815881462246863969860597468240
192, 3971543270371408232506493590711566336.000000, 436370279063560854081270450268880560336, -279903335445272692046567721757667354944
193, 6126891827827520540058198376152301568.000000, 345742340128485808458691311980580219072, -340603424887903572678948665643164667264
194, 5432974593910802998102151806186422272.000000, 346433062019534059156093308037030196416, -354812708742900631762731869458952214912
195, 8516478566718989282497484475135426560.000000, 341050432139433783396443160311611920896, -192662179836085492095414692405502684608
196, 5938165173372090310163310999156817920.000000, 377517297806468492751063353234079152960, -279790912151746663952708076122622553424
197, 5963982993104809065538908913307484160.000000, 459178267287409405856477468041445664192, -405839211602373374148423063829295680304
198, 2976975388604016898152543012033396736.000000, 414234704896601119244826879947192393280, -405841182424076829632340090099595625488
199, 2706272343405424258497912835737124864.000000, 342240514631237684972569637272232142656, -397774499842950558524378988096691023072
200, 1473063563827576457010539146233511936.000000, 357570567992573632638295989553370418496, -506488139652660358239124693405698198848
201, 6662129082305580393737339104386875392.000000, 424328414273666624377320768159290912592, -406819862893994672978482025029621854464
202, 5508073815684908607289367749902467072.000000, 423649425288237654456527075616725779072, -418254997158060803722295924360727760768
203, 5852254454503935261806939520551092224.000000, 380677836321176897438397987338013572256, -524058995097868184650463568263439455104
204, -2497621285389837156194002134909321216.000000, 383559334590919805318915221298579101120, -501196418570689885280462793189652688080
205, 6114855371811929301015103399763378176.000000, 441411996740343406806214558171218323008, -522288544416156133831007069202766530432
206, 4654352121562374335060336231478984704.000000, 368366733440601812215104710751358894400, -497349697965802125085730449904341963984
207, 4086937053371241557592921375992971264.000000, 409367431160831527482190945374619873856, -330868706126286805795937777787922992000
208, 4353346073753183200986885601720532992.000000, 391801051364367017621190933564518080144, -324256805228580466515499761451726928704
209, 5168583104259994698982919824081944576.000000, 419188048157220896291796743625747323520, -476719944042462932120168828806250180672
210, 3708890110318199331364301541249908736.000000, 424111580482816773039639599277807393712, -524058872706148062713297551051518463872
211, 6008378420260984642049395627997003776.000000, 411204287552627473150019103389311600832, -498574759381552720073245647683447770032
212, 10745112841095835391609557956234838016.000000, 401067260439855785721738451582959788416, -524424804297278681623868129767754338176
213, 11906421790314004045031185007777939456.000000, 393878464257350854691117810600527407408, -524040042565650524064786705963446806400
214, 13094191991774249764414530066894028800.000000, 422156517567350862445086516537660707200, -484753336971400756202793740836621644944
215, 13207564836308007017653848651876794368.000000, 455429722635379613516501226155136431056, -442346314611761870137781981997113651968
216, 14599877911875213157032038093687881728.000000, 424262210128824943874368738051239781952, -511770089446059952194317865675880830408
217, 19026867733633946925949696749116325888.000000, 455581655474583399209616965284168403088, -560167207509808424044779643957816526800
218, 12569229520080395020591787023582363648.000000, 447687212776152264829201641230783808048, -391159062528298116276178929013773152796
219, 18465094112775006739133171109625593856.000000, 431611936961709975024485874859337509632, -558276435077887246459249590930563102608
220, 17097906671106287600143537059007561728.000000, 415036838188263697074981958459371222268, -483711367934112162285591907153189066480
221, 20398508681167917221395732333233963008.000000, 408888580532703630296809844200508691952, -476174224301284784798579274161845911280
222, 19809299971863654437575214301498572800.000000, 404911316406950509918914532763981525656, -531233613932964436135936249122285208920
223, 13433845076136527948005741792231161856.000000, 529699100598867757569232936283470060752, -522536438248081476487570532922883414072
228, 6311414050978987794716170032450109440.000000, 526265929579107534863665571850731324480, -539039225619474106369426876560801540968
233, 1755722132888443613630427546112753664.000000, 440634311180649155432020735766175107172, -510988192671213913565126999683722583336
238, 24691794234520245118583623448606539776.000000, 485769270449072512849358951532774309224, -500705353339565149973849558648671998360
243, 19551821256652184540148842811487158272.000000, 553013316025534497943337645976136494240, -552271495244980716848704804837796824040
248, -19615861493232930608959671116517867520.000000, 557320158928569889489718034007051188688, -583354225374722615164902925514979054976
253, -45367172556561421023797950661649235968.000000, 432760643520717572656663888872640630648, -515396674627760822050715676387827883720
258, -45769753189510632158248280045540868096.000000, 519899158486491008458312252281717363016, -595285617673039793011237134577564517804
263, -49597388647328221637736441170205081600.000000, 593698728388996849309722191070216763060, -617865404061229523550291618217977745566
268, -70578608383022848292141983014676594688.000000, 573165977175210644330715953364651870168, -648798443647909657004739285150171352482
273, -47486300056528839833339580944564092928.000000, 436590994861652564603529165395447955602, -497471850020028951442108579377657618732
278, -21666927533017750467485432643980361728.000000, 610596969276445013756747522892765281684, -535287953444360543744371870425770470342
283, -4998334840262855507725777117565157376.000000, 486664348771852472843391668819533335059, -480361706921030189326629818403002426772
288, -27846255209820030599541394579363201024.000000, 497682835446805696111583492958307310651, -586857542959924367203983181938024919124
293, -547206499185293735353118516737736704.000000, 580988992021639746237977949743630455084, -568768639330991851772119737693447743552
298, -12446232365970107759232973276159410176.000000, 544125010284469465967024470590576684752, -575257813852537444521582109077406586500
303, 33030779800865358188893260894389141504.000000, 550091232246211997759719868808504723876, -524651070354028493506464840189010241038
308, 63336574873146519452132533077058519040.000000, 596497944173805980780374683704092537595, -512367775939039291380140712487067521196
313, 40986867394526798405898918528580321280.000000, 553472064007636778576886946267163481063, -446867705017830576843556614593468288198
318, 40592025630528657722550814653506650112.000000, 594883995347337659171449496659926204879, -489527699909828698582927293912342804792
323, 40287027229380983353311845528293605376.000000, 596578397703603645935192523421422076285, -453543599019012593836968625294353154041
334, 19750713556198126075746971914902437888.000000, 472593022250063670532402321042334579644, -531842349405617669783039257668362248814
345, -8372054961811765964887120418141372416.000000, 467512150778699268364827829339036121868, -543332747260809154650535472106337153338
355, -30179672749237688137882838697936683008.000000, 541153288417998982668542291347470330709, -608121163867625039753938372121876847494
365, -25995968862696600990429596965484363776.000000, 683410656838856566225944318396491035959, -719452480224716662346188731258627813647
375, 11945350902094781462269619388119252992.000000, 619705303849249290596099294521673605204, -659843665631914797821451437658478008760
385, -44976887019205408052183396152781045760.000000, 868024747243061080841771081139577434505, -1171032994803927319815230304391708729063
395, -98827827604149336508487788020616921088.000000, 689441077544353761627259668443866709096, -1368885278572727831174706342864986724371
405, -55546622398311308060617100394904944640.000000, 661398556148204390058004151405724317641, -1406772125091143246996991600238097854887
415, -78635808932170001086908542187741380608.000000, 639661358552843302302452760121755913815, -1387125463870171436592221426401964593657
425, 16149004973125665865885281647081816064.000000, 740909557023799391887487627478012053081, -1453168729363330637308033840174272909784
450, 152707483426657616408315141217557938176.000000, 1259098377327158945923609603870217905837, -1718855451000439228299498566975803702493
475, 174445437636895966055043486275348725760.000000, 1344355231822805791927263355191620143841, -1450558923739574984682068361803494180121
500, -220166284921442149160066098289004511232.000000, 1150613758009556849274489396558002237470, -1314391361786355374439869262085037873585
525, 388895924056774696687298513489958535168.000000, 1333499898055789665942917946913690408242, -817459047631134813454089049131663002085
550, 109077423944223872210586762256595288064.000000, 1392935328228654545003506171491085673501, -979040432693111371158569720718709977027
575, 59028924473063063143943635691525636096.000000, 1464628944625093070791577674309841219059, -1406353062746645767506782129892941308551
600, 0.000000, 0, 0
122, 0.000000, 0, 0
123, 0.000000, 0, 0
124, 0.000000, 0, 0
125, 0.000000, 0, 0
126, 0.000000, 0, 0
127, 0.000000, 0, 0
128, 0.000000, 0, 0
129, 0.000000, 0, 0
130, 0.000000, 0, 0
131, 0.000000, 0, 0
132, 0.000000, 0, 0
133, 8270044303125466180485120.000000, 16464530742525018037551104, 0
134, -2380072707366301187702784.000000, 75557863725914323419136, -4835703278458516698824704
135, -2380072707366301187702784.000000, 75557863725914323419136, -4835703278458516698824704
136, 795958805993081137952456704.000000, 5091995552216818083862413312, -319911995015521245356621824
137, -211067744074019760827793408.000000, 528905046081400263933952, -1237940039285380274899124224
138, -27692249915357700351896479099518976.000000, 5006889063462541337821184, -332306998946228968225951765070086144
139, -4471143249016103015628521825370112.000000, 19287000644964651175929446400, -80480601307289828242222693102911488
140, -12859046976767129807658628797169664.000000, 1298074214633706907132624082305024, -332306998946228968225951765070086144
141, -6367936825670288535132846910603264.000000, 19807040628566084398385987584, -332306998946228968225951765070086144
142, -9182704364771888055877882970374144.000000, 1298074214633706907132624082305024, -332306998946228968225952039947993088
143, -6602295660680902908310403739025408.000000, 1298074214633706907132624082305024, -332306998946228968225951765070086144
144, -5359618737594789506018719752519680.000000, 1298074292004959074238515111788544, -332306998946228968225951765070086144
145, -3190961154304332283554682726514688.000000, 5275951894629576485987079547781120, -319929658485600536349737954972794880
146, -1474745434988868007710147676733440.000000, 1329227995789522541407846399186305024, -332306998946228968225951765070086144
147, -232800626979979545144745278086053888.000000, 1394509784214048629020182754143240192, -74353691014218731640554455634618089472
