freq, avg, max
122, 0.000000, 0.000000
123, 0.000000, 0.000000
124, 0.000000, 0.000000
125, 0.000000, 0.000000
126, 0.000000, 0.000000
127, 0.000000, 0.000000
128, 0.000000, 0.000000
129, 0.000000, 0.000000
130, 0.000000, 0.000000
131, 0.000000, 0.000000
132, 0.000000, 0.000000
133, 0.000000, 0.000000
134, 0.000000, 0.000000
135, 0.000000, 0.000000
136, 0.000000, 0.000000
137, 0.000000, 0.000000
138, 0.000711, 0.011377
139, 0.000074, 0.001255
140, 0.000034, 0.001255
141, 0.000266, 0.011377
142, 0.000214, 0.011377
143, 0.000136, 0.011377
144, 0.000102, 0.011377
145, 0.000104, 0.011377
146, 0.000236, 0.034349
147, 0.003968, 1.201462
148, 0.001295, 0.345370
149, 0.004579, 1.201462
150, 0.001220, 0.345370
151, 0.006135, 1.201462
152, 0.016077, 2.180128
153, 0.003781, 1.201462
154, 0.005961, 1.201462
155, 0.010685, 1.201462
156, 0.028884, 2.562575
157, 0.026675, 2.948635
158, 0.038628, 2.948776
159, 0.039245, 2.365087
160, 0.045035, 2.948635
161, 0.042591, 2.365086
162, 0.050878, 3.084193
163, 0.049922, 5.498537
164, 0.060542, 3.243206
165, 0.078289, 5.498537
166, 0.083079, 5.498538
167, 0.084608, 3.243287
168, 0.098964, 3.243130
169, 0.128617, 3.582428
170, 0.140110, 7.007250
171, 0.181864, 7.007250
172, 0.181563, 8.483791
173, 0.215535, 8.995045
174, 0.212695, 6.348249
175, 0.243126, 5.978769
176, 0.259058, 5.568635
177, 0.294484, 5.552072
178, 0.341128, 7.884598
179, 0.372783, 23.523340
180, 0.322795, 7.697476
181, 0.506029, 8.429941
182, 0.484135, 33.346806
183, 0.537105, 24.940326
184, 0.511886, 33.449746
185, 0.725147, 58.917793
186, 0.797651, 41.697573
187, 1.014730, 67.476810
188, 1.101685, 139.965641
189, 1.065550, 71.655573
190, 0.914217, 37.562071
191, 1.149170, 37.521188
192, 1.286921, 93.582106
193, 1.455782, 64.061682
194, 1.332799, 62.359898
195, 1.447677, 39.209462
196, 1.427122, 64.167064
197, 1.814188, 86.836588
198, 1.807360, 64.159260
199, 2.068073, 87.683185
200, 2.468917, 90.500114
201, 2.510392, 109.661866
202, 2.394256, 106.772622
203, 2.809681, 114.302381
204, 3.148834, 431.263861
205, 2.694067, 111.108550
206, 2.565626, 195.202788
207, 2.379624, 66.808873
208, 2.377464, 89.535522
209, 2.295393, 89.199082
210, 3.188332, 115.012742
211, 3.279174, 159.687593
212, 3.469872, 93.696365
213, 3.197706, 83.692502
214, 3.210806, 91.311453
215, 3.608698, 107.903860
216, 4.059072, 251.209698
217, 3.506201, 111.700883
218, 4.173622, 273.476515
219, 4.340879, 112.863399
220, 4.499027, 154.605155
221, 4.395764, 135.421683
222, 4.555423, 190.972805
223, 4.245908, 146.239344
228, 5.061849, 115.099802
233, 7.481052, 442.874339
238, 8.672142, 884.711205
243, 8.275890, 351.659397
248, 10.504065, 493.446869
253, 10.109363, 288.615675
258, 11.905138, 777.592991
263, 10.042279, 271.653701
268, 10.186008, 337.022612
273, 11.469900, 369.738658
278, 11.872533, 311.022515
283, 10.095946, 178.964884
288, 10.636274, 220.196781
293, 11.304466, 555.551721
298, 11.742861, 359.299045
303, 11.826861, 424.143109
308, 12.063810, 284.848806
313, 11.355973, 265.221212
318, 10.323206, 254.991186
323, 10.621738, 242.679466
334, 10.967150, 269.870832
345, 10.582444, 407.922580
355, 10.557663, 238.338608
365, 14.322074, 1081.213308
375, 13.373483, 509.205790
385, 15.006415, 514.335263
395, 15.734332, 1122.343266
405, 21.526452, 2451.493363
415, 23.161116, 871.335624
425, 20.436339, 1089.447965
